id_titulo_receber,id_cliente,data_emissao,data_vencimento,data_recebimento,valor_titulo,valor_recebido,status,forma_recebimento
CR000024,C0022,2026-01-23,2026-01-30,2026-01-29,1900.65,1900.65,Pago,Transferência
CR000025,C0040,2026-06-19,2026-08-03,1900-01-01,10587.75,0.0,Vencido,Boleto
CR000026,C0030,2026-07-11,2026-08-10,2026-08-08,5594.77,5594.77,Pago,Transferência
CR000027,C0021,2026-04-05,2026-05-03,1900-01-01,12357.89,0.0,Em aberto,PIX
CR000028,C0019,2026-05-01,2026-05-15,2026-05-17,2093.74,2093.74,Pago,Cartão
CR000029,C0034,2026-02-23,2026-04-09,2026-04-07,3373.05,3373.05,Pago,PIX
CR000030,C0031,2026-07-05,2026-08-19,2026-08-22,9190.24,9190.24,Pago,Transferência
CR000031,C0017,2026-05-15,2026-06-14,2026-06-13,14926.86,14926.86,Pago,Cartão
CR000032,C0034,2026-07-06,2026-08-20,2026-08-20,7616.79,7616.79,Pago,Transferência
CR000033,C0013,2026-01-01,2026-01-08,2026-01-08,652.61,652.61,Pago,Cartão
CR000034,C0027,2026-01-12,2026-02-02,2026-01-30,5439.86,5439.86,Pago,Boleto
CR000035,C0045,2026-03-14,2026-04-04,2026-04-05,11915.87,11915.87,Pago,Transferência
CR000036,NAO INFORMADO,2026-01-02,2026-01-09,2026-01-12,10381.79,-100.0,NAO INFORMADO,PIX
CR000037,C0012,2026-02-19,2026-03-12,1900-01-01,12557.23,0.0,Em aberto,Cartão
CR000038,C0003,2026-06-15,2026-06-29,1900-01-01,7377.98,0.0,Em aberto,Transferência
CR000039,C0030,2026-07-20,2026-09-18,2026-09-23,6385.11,6385.11,NAO INFORMADO,Transferência
CR000040,C0037,2026-07-05,2026-08-19,1900-01-01,4937.89,0.0,Em aberto,PIX
CR000041,C0014,2026-05-28,2026-07-12,2026-07-10,5176.27,5176.27,Pago,Boleto
CR000042,C0018,2026-08-04,2026-08-11,1900-01-01,5285.54,0.0,Em aberto,Boleto
CR000043,C0037,2026-06-05,2026-07-03,2026-07-04,3054.47,3054.47,Pago,Transferência
CR000044,C0046,2026-01-09,2026-01-30,1900-01-01,6383.88,0.0,Em aberto,Boleto
CR000045,C0024,2026-04-26,2026-06-25,2026-06-30,14275.68,14275.68,Pago,Transferência
CR000046,C0012,2026-01-29,2026-02-19,2025-12-01,11838.68,11838.68,Pago,NAO INFORMADO
CR000047,C0033,2026-01-07,2026-03-08,1900-01-01,7395.15,0.0,Em aberto,Boleto
CR000048,C0013,2026-03-29,2026-04-26,1900-01-01,11066.88,0.0,Em aberto,Transferência
CR000049,C0050,2026-03-25,2026-04-08,2026-04-13,11611.38,11611.38,Pago,Boleto
CR000050,C0014,2026-07-05,2026-07-12,1900-01-01,7052.72,0.0,Em aberto,PIX
CR000051,C0001,2026-03-21,2026-03-28,1900-01-01,10399.67,0.0,Vencido,PIX
CR000052,C0022,2026-04-30,2026-05-07,2026-05-04,1815.61,1815.61,Pago,Transferência
CR000053,C0041,2026-08-17,2026-08-31,2026-09-01,5016.94,5016.94,Pago,Transferência
CR000054,C0035,2026-03-23,2026-05-22,2026-05-23,6784.4,6784.4,Pago,Boleto
CR000055,C0011,2026-03-12,2026-03-19,1900-01-01,524.27,0.0,Vencido,PIX
CR000056,C0014,2026-05-19,2026-06-09,2026-06-08,8375.68,8375.68,Pago,Transferência
CR000057,C0037,2026-03-04,2026-03-18,1900-01-01,1347.27,0.0,Vencido,Transferência
CR000058,C0035,2026-04-24,2026-05-01,1900-01-01,2212.09,0.0,Em aberto,PIX
CR000059,C0007,2026-04-09,2026-04-16,1900-01-01,1565.96,0.0,Em aberto,boleto
CR000060,C0046,2026-06-02,2026-07-02,1900-01-01,9553.22,0.0,Em aberto,Transferência
CR000061,C0020,2026-03-27,2026-05-26,1900-01-01,3212.76,0.0,pago,PIX
CR000062,C0049,2026-07-15,2026-08-12,2026-08-16,8646.5,8646.5,Pago,PIX
CR000063,C0030,2026-03-21,2026-05-05,1900-01-01,9772.95,0.0,Em aberto,Cartão
CR000064,C0015,2026-02-27,2026-03-13,1900-01-01,12958.12,0.0,Vencido,Transferência
CR000065,C0024,2026-04-11,2026-04-25,2026-04-27,10584.33,10584.33,Pago,Cartão
CR000066,C0032,2026-01-08,2026-01-15,2026-01-19,7287.42,7287.42,Pago,Cartão
CR000067,C0011,2026-03-14,2026-05-13,1900-01-01,5424.65,0.0,Vencido,Boleto
CR000068,C0033,2026-01-27,2026-02-24,2026-02-26,12318.03,12318.03,Pago,PIX
CR000069,C0020,2026-05-17,2026-06-14,1900-01-01,6192.0,0.0,Em aberto,Boleto
CR000070,C0040,2026-03-04,2026-04-03,1900-01-01,2637.6,0.0,em aberto,Cartão
CR000071,C0005,2026-03-29,2026-04-12,1900-01-01,12264.56,0.0,Vencido,Cartão
CR000072,C0028,2026-05-26,2026-07-25,2026-07-24,5330.35,5330.35,Pago,PIX
CR000073,C0048,2026-07-02,2026-08-01,2026-08-05,12600.2,12600.2,Pago,Transferência
CR000074,C0036,2026-01-25,2026-03-26,2026-03-29,6844.68,6844.68,Pago,PIX
CR000075,C0039,2026-01-28,2026-03-14,1900-01-01,12266.78,0.0,Em aberto,Transferência
CR000076,C0032,2026-06-15,2026-07-30,2026-07-29,1203.79,1203.79,Pago,PIX
CR000077,C0049,2026-02-07,2026-03-24,1900-01-01,2493.48,0.0,Em aberto,NAO INFORMADO
CR000078,C0025,2026-06-07,2026-07-07,2026-07-09,6873.25,6873.25,Pago,Transferência
CR000079,C0037,2026-07-23,2026-09-06,1900-01-01,4776.89,0.0,Em aberto,Transferência
CR000080,C0006,2026-05-30,2026-06-06,1900-01-01,9288.91,0.0,Em aberto,Cartão
CR000081,C0009,2026-08-07,2026-08-28,1900-01-01,1217.44,0.0,Em aberto,PIX
CR000082,C0001,2026-06-30,2026-07-30,2026-07-28,0.0,12365.07,Pago,Transferência
CR000083,C0002,2026-03-02,2026-03-30,1900-01-01,10622.66,0.0,Em aberto,Transferência
CR000084,C0046,2026-04-08,2026-05-06,1900-01-01,5909.01,0.0,Em aberto,Boleto
CR000085,C0043,2026-02-14,2026-03-14,1900-01-01,2344.31,0.0,Em aberto,Cartão
CR000086,C0024,2026-08-04,2026-09-01,2026-08-31,2567.73,2567.73,Pago,PIX
CR000087,C0005,2026-06-15,2026-06-22,1900-01-01,2416.74,0.0,Em aberto,Cartão
CR000088,C0009,2026-01-22,2026-02-05,1900-01-01,9740.97,0.0,Em aberto,Cartão
CR000089,C0045,2026-06-04,2026-07-02,1900-01-01,9461.75,0.0,Em aberto,Cartão
CR000090,C0036,2026-07-29,2026-08-26,2026-08-25,5955.31,5955.31,Pago,Cartão
CR000091,C0039,2026-01-02,2026-02-01,2026-02-06,7622.91,7622.91,Pago,transferência
CR000092,C0027,2026-05-20,2026-06-19,2026-06-23,5694.46,5694.46,Pago,Transferência
CR000093,C0008,2026-05-29,2026-06-26,2026-06-25,14437.54,14437.54,Pago,Transferência
CR000094,C0030,2026-05-13,2026-05-20,1900-01-01,7993.34,0.0,Vencido,PIX
CR000095,C0016,2026-05-01,2026-06-15,2026-06-20,11202.79,11202.79,Pago,Transferência
CR000096,C0040,2026-01-14,2026-02-04,2026-02-08,8164.99,8164.99,Pago,Cartão
CR000097,C0033,2026-08-20,2026-09-17,2026-09-20,8737.29,8737.29,Pago,Transferência
CR000098,C0019,2026-03-16,2026-03-30,1900-01-01,819.3,0.0,Vencido,Transferência
CR000099,c0047,2026-07-20,2026-08-19,1900-01-01,4128.51,0.0,Em aberto,Boleto
CR000100,C0037,2026-01-14,2026-02-28,1900-01-01,14858.36,0.0,Vencido,PIX
CR000101,C0019,2026-05-05,2026-05-12,2026-05-13,2164.27,2164.27,Pago,Transferência
CR000102,C0009,2026-06-07,2026-06-28,2026-06-25,4345.69,0.0,Pago,PIX
CR000103,c0039,2026-02-14,2026-03-16,1900-01-01,11162.82,0.0,Em aberto,Transferência
CR000104,C0012,2026-03-08,2026-05-07,1900-01-01,10601.39,0.0,Em aberto,Boleto
CR000105,C0034,2026-08-09,2026-08-16,2026-08-15,5339.87,5339.87,Pago,Boleto
CR000106,NAO INFORMADO,2026-07-12,2026-08-09,2026-08-13,11624.41,11624.41,Pago,Boleto
CR000107,C0014,2026-05-28,2026-07-12,2026-07-13,12674.95,12674.95,Pago,PIX
CR000108,C0004,2026-02-12,2026-03-12,2026-03-16,6161.55,6161.55,Pago,Boleto
CR000109,C0025,2026-06-24,2026-08-08,2026-08-07,6034.04,6034.04,Pago,Cartão
CR000110,C0001,2026-03-15,2026-05-14,2026-05-19,6897.66,6897.66,Pago,PIX
CR000111,C0007,2026-05-17,2026-07-01,1900-01-01,5501.27,0.0,Em aberto,Transferência
CR000112,C0022,2026-03-11,2026-04-01,2026-04-04,12094.05,12094.05,Pago,Cartão
CR000113,C0050,2026-06-22,2026-08-06,1900-01-01,3854.42,0.0,Vencido,Boleto
CR000114,C0034,2026-03-28,2026-05-12,2026-05-14,10447.09,10447.09,Pago,PIX
CR000115,C0044,2026-01-03,2026-03-04,1900-01-01,1298.89,0.0,Em aberto,PIX
CR000116,NAO INFORMADO,2026-01-27,2026-03-13,2026-03-14,6855.35,6855.35,Pago,Transferência
CR000117,C0013,2026-01-09,2026-01-16,2026-01-16,9405.14,9405.14,Pago,PIX
CR000118,C0046,2026-01-31,2026-02-07,2026-02-10,12889.68,12889.68,Pago,Boleto
CR000119,C0008,2026-06-28,2026-07-12,1900-01-01,4024.04,0.0,Em aberto,PIX
CR000120,C0041,2026-04-27,2026-05-18,2026-05-19,11609.58,11609.58,Pago,Boleto
CR000121,C0050,2026-01-19,2026-02-09,1900-01-01,11723.46,0.0,Em aberto,Cartão
CR000122,C0022,2026-01-16,2026-02-06,2026-02-05,14347.4,14347.4,NAO INFORMADO,Cartão
CR000123,C0005,2026-05-06,2026-05-20,2026-05-24,9271.44,9271.44,Pago,PIX
CR000124,C0010,2026-05-19,2026-07-18,1900-01-01,6639.43,0.0,Vencido,PIX
CR000125,C0029,2026-07-03,2026-07-24,2026-07-22,1818.32,1818.32,Pago,Transferência
CR000126,C0050,2026-04-25,2026-05-02,2026-04-29,13478.73,13478.73,Pago,PIX
CR000127,C0043,2026-04-10,2026-05-01,2026-05-04,2528.63,2528.63,Pago,PIX
CR000128,C0033,2026-07-01,2026-08-30,1900-01-01,7512.99,0.0,Em aberto,Cartão
CR000129,C0047,2026-07-19,2026-09-17,1900-01-01,11845.11,0.0,Em aberto,Boleto
CR000130,C0001,2026-09-04,2026-05-24,1900-01-01,12324.26,0.0,Em aberto,PIX
CR000131,C0037,2026-05-18,2026-06-08,2026-06-11,5201.56,5201.56,Pago,PIX
CR000132,C0041,2026-06-15,2026-06-22,2026-06-20,5670.72,5670.72,Pago,cartão
CR000133,C0049,2026-07-16,2026-08-06,2026-08-11,9822.55,9822.55,Pago,PIX
CR000134,C0025,2026-06-19,2026-07-03,1900-01-01,4693.39,0.0,Em aberto,PIX
CR000135,C0041,2026-06-26,2026-07-17,1900-01-01,7451.6,0.0,Em aberto,Boleto
CR000136,C0009,2026-01-10,2026-01-24,1900-01-01,672.86,0.0,Vencido,Boleto
CR000137,C0032,2026-04-10,2026-04-17,2026-04-21,11953.27,11953.27,Pago,cartão
CR000138,C0002,2026-01-10,2026-01-31,2026-02-03,1124.0,1124.0,pago,PIX
CR000139,C0014,2026-07-26,2026-09-09,1900-01-01,10109.55,0.0,Em aberto,Boleto
CR000140,C0048,2026-05-29,2026-06-12,2026-06-11,13894.79,13894.79,Pago,Cartão
CR000141,C0042,2026-01-05,2026-02-02,1900-01-01,13635.53,0.0,Vencido,PIX
CR000142,C0016,2026-06-29,2026-08-13,2026-08-10,2218.9,0.0,Pago,Transferência
CR000143,C0007,2026-04-27,2026-05-27,1900-01-01,2809.13,0.0,Vencido,PIX
CR000144,C0007,2026-01-30,2026-02-27,1900-01-01,9046.17,0.0,Vencido,Boleto
CR000145,C0005,2026-07-25,2026-08-08,1900-01-01,6565.31,0.0,Em aberto,Transferência
CR000146,C0008,2026-06-25,2026-07-25,2026-07-25,8324.51,8324.51,Pago,PIX
CR000147,C0038,2026-02-14,2026-03-07,2026-03-06,1229.36,1229.36,Pago,Cartão
CR000148,C0011,2026-06-28,2026-07-19,1900-01-01,8435.09,0.0,Em aberto,Boleto
CR000149,C0038,2026-01-11,2026-01-25,1900-01-01,1769.53,0.0,Vencido,Cartão
CR000150,C0050,2026-02-10,2026-02-17,2026-02-14,13230.52,13230.52,Pago,PIX
CR000151,C0012,2026-01-23,2026-03-09,2026-03-12,9880.81,9880.81,Pago,Cartão
CR000152,C0045,2026-02-02,2026-02-16,2026-02-21,2403.39,2403.39,Pago,Cartão
CR000153,C0027,2026-03-03,2026-03-17,2026-03-16,9274.91,9274.91,Pago,Cartão
CR000154,C0040,2026-01-23,2026-03-09,2026-03-11,12449.31,12449.31,Pago,Cartão
CR000155,C0001,2026-05-23,2026-06-06,1900-01-01,3120.97,0.0,Em aberto,PIX
CR000156,C0040,2026-04-03,2026-06-02,1900-01-01,11488.59,0.0,Em aberto,boleto
CR000157,C0030,2026-07-17,2026-08-31,2026-08-28,9992.11,9992.11,Pago,Boleto
CR000158,NAO INFORMADO,2026-07-23,2026-08-06,1900-01-01,10373.08,0.0,Em aberto,Cartão
CR000159,C0012,2026-02-10,2026-03-27,2026-03-29,13863.29,13863.29,Pago,Transferência
CR000160,C0014,2026-04-22,2026-05-13,1900-01-01,5214.13,0.0,Em aberto,PIX
CR000161,C0007,2026-07-09,2026-07-16,2026-07-15,13895.46,13895.46,Pago,PIX
CR000162,C0032,2026-05-12,2026-05-19,2026-05-23,1341.63,0.0,Pago,Transferência
CR000163,C0027,2026-02-20,2026-04-06,2026-04-06,10249.73,10249.73,Pago,PIX
CR000164,C0021,2026-02-28,2026-07-03,1900-01-01,3785.64,0.0,Em aberto,Boleto
CR000165,C0025,2026-08-17,2026-08-31,1900-01-01,1380.89,0.0,Vencido,Cartão
CR000166,C0004,2026-08-16,2026-09-13,1900-01-01,2430.64,0.0,Vencido,Cartão
CR000167,C0012,2026-04-10,2026-05-01,2026-05-03,2305.15,2305.15,Pago,Transferência
CR000168,C0013,2026-03-27,2026-04-10,1900-01-01,771.79,0.0,Vencido,PIX
CR000169,C0018,2026-02-04,2026-02-11,1900-01-01,12819.28,0.0,Em aberto,Cartão
CR000170,C0011,2026-07-14,2026-08-04,2026-08-03,3531.85,3531.85,Pago,Boleto
CR000171,C0037,2026-05-22,2026-07-21,1900-01-01,3676.62,0.0,Em aberto,Cartão
CR000172,C0014,2026-06-01,2026-06-29,2026-06-26,12603.74,12603.74,Pago,Cartão
CR000173,C0048,2026-08-12,2026-08-26,1900-01-01,3943.12,0.0,Em aberto,Boleto
CR000174,C0038,2026-02-08,2026-03-10,1900-01-01,13504.3,0.0,Em aberto,PIX
CR000175,C0003,2026-05-01,2026-06-15,2026-06-18,11598.51,11598.51,Pago,Cartão
CR000176,C0031,2026-07-27,2026-09-25,2026-09-29,10540.81,10540.81,Pago,Cartão
CR000177,C0016,2026-01-22,2026-02-21,1900-01-01,11370.26,0.0,Em aberto,Boleto
CR000178,C0009,2026-04-02,2026-04-23,2026-04-20,3814.22,3814.22,Pago,Cartão
CR000179,C0043,2026-03-20,2026-04-03,1900-01-01,10638.58,0.0,Vencido,PIX
CR000180,C0030,2026-04-29,2026-06-28,1900-01-01,2337.77,0.0,Em aberto,Boleto
CR000181,C0024,2026-06-10,2026-07-08,2026-07-06,10647.36,10647.36,Pago,Cartão
CR000182,C0045,2026-03-27,2026-04-26,1900-01-01,0.0,0.0,Em aberto,Transferência
CR000183,C0045,2026-06-06,2026-07-06,2026-07-04,8755.87,8755.87,Pago,Transferência
CR000184,C0048,2026-01-15,2026-02-14,2026-02-11,14196.24,14196.24,Pago,PIX
CR000185,C0025,2026-04-04,2026-05-02,2026-05-04,9401.26,9401.26,Pago,Boleto
CR000186,C0042,2026-05-24,2026-07-08,2026-07-07,1284.99,1284.99,Pago,Transferência
CR000187,C0016,2026-05-19,2026-05-26,1900-01-01,9840.86,0.0,Vencido,Boleto
CR000188,C0049,2026-07-10,2026-09-08,2026-09-09,3613.93,3613.93,Pago,Cartão
CR000189,C0018,2026-01-14,2026-01-21,1900-01-01,5780.36,0.0,Em aberto,Cartão
CR000190,C0033,2026-05-15,2026-07-14,1900-01-01,2103.83,0.0,Em aberto,Transferência
CR000191,C0029,2026-06-08,2026-06-29,2026-06-29,12058.59,12058.59,Pago,Cartão
CR000192,C0006,2026-01-21,2026-02-18,2026-02-16,13499.8,13499.8,Pago,PIX
CR000193,C0011,2026-03-12,2026-03-19,1900-01-01,10547.11,0.0,Em aberto,Boleto
CR000194,C0014,2026-05-14,2026-06-28,1900-01-01,633.55,0.0,Em aberto,Boleto
CR000195,C0031,2026-03-30,2026-04-27,2026-04-28,6824.74,6824.74,Pago,Boleto
CR000196,C0005,2026-01-06,2026-03-07,1900-01-01,12089.24,0.0,Em aberto,Transferência
CR000197,C0027,2026-05-29,2026-06-19,2026-06-23,9939.68,9939.68,Pago,Cartão
CR000198,C0030,2026-03-19,2026-04-18,2026-04-17,2239.73,2239.73,Pago,Transferência
CR000199,C0015,2026-05-04,2026-05-25,2026-05-24,14569.64,14569.64,Pago,Transferência
CR000200,C0019,2026-04-27,2026-05-11,2026-05-16,9393.86,9393.86,Pago,Transferência
CR000201,C0012,2026-02-14,2026-04-15,2026-04-14,10709.23,10709.23,Pago,Boleto
CR000202,C0008,2026-01-11,2026-02-01,1900-01-01,8745.52,0.0,Em aberto,Transferência
CR000203,C0024,2026-02-17,2026-03-03,2026-03-05,8568.56,8568.56,Pago,Transferência
CR000204,C0010,2026-04-06,2026-05-04,2026-05-09,8236.04,8236.04,Pago,Transferência
CR000205,C0008,2026-01-07,2026-02-04,2026-02-08,13986.71,13986.71,Pago,Transferência
CR000206,C0010,2026-01-02,2026-02-16,1900-01-01,8328.34,0.0,Em aberto,Transferência
CR000207,c0042,2026-06-30,2026-07-21,2026-07-20,7266.49,7266.49,Pago,Cartão
CR000208,C0022,2026-06-26,2026-07-03,2026-07-02,11055.12,11055.12,Pago,PIX
CR000209,C0020,2026-01-07,2026-02-04,2026-02-08,9377.57,9377.57,Pago,Transferência
CR000210,C0006,2026-03-25,2026-04-01,2026-04-06,9239.82,9239.82,Pago,Boleto
CR000211,C0050,2026-03-13,2026-03-27,1900-01-01,631.47,0.0,Em aberto,Cartão
CR000212,C0044,2026-06-21,2026-06-28,1900-01-01,14644.84,0.0,Em aberto,Boleto
CR000213,C0032,2026-03-23,2026-04-22,2026-04-24,9194.64,9194.64,Pago,Cartão
CR000214,C0010,2026-07-03,2026-09-01,1900-01-01,6586.32,0.0,Em aberto,Transferência
CR000215,C0001,2026-03-14,2026-04-04,1900-01-01,5464.92,0.0,Em aberto,PIX
CR000216,C0014,2026-07-06,2026-08-03,1900-01-01,11200.46,0.0,Em aberto,Cartão
CR000217,C0019,2026-02-11,2026-04-12,1900-01-01,11001.61,0.0,Em aberto,Cartão
CR000218,C0009,2026-08-02,2026-09-01,2026-01-09,9089.65,9089.65,Pago,Transferência
CR000219,C0031,2026-08-11,2026-09-10,2026-09-13,14803.58,14803.58,Pago,PIX
CR000220,C0001,2026-04-15,2026-05-30,1900-01-01,13741.83,0.0,Em aberto,Boleto
CR000221,C0036,2026-04-29,2026-06-13,2026-06-13,8648.37,8648.37,Pago,Boleto
CR000222,C0025,2026-03-16,2026-04-15,2026-04-16,7511.61,7511.61,Pago,Cartão
CR000223,C0036,2026-07-09,2026-08-06,2026-08-05,3600.45,0.0,Pago,Transferência
CR000224,C0020,2026-06-13,2026-08-12,2026-08-13,9657.44,9657.44,Pago,Cartão
CR000225,C0012,2026-05-06,2026-06-20,2026-06-18,9778.35,9778.35,NAO INFORMADO,Transferência
CR000226,C0032,2026-01-18,2026-02-17,1900-01-01,11259.81,0.0,NAO INFORMADO,Cartão
CR000227,C0037,2026-04-22,2026-06-21,1900-01-01,4091.3,0.0,Em aberto,PIX
CR000228,C0024,2026-05-12,2026-06-26,2026-06-25,8756.38,8756.38,Pago,PIX
CR000229,C0010,2026-03-23,2026-04-20,2026-04-22,13211.26,13211.26,Pago,Boleto
CR000230,C0004,2026-03-11,2026-04-01,2026-03-29,6466.86,6466.86,Pago,Transferência
CR000231,C0019,2026-05-16,2026-06-30,1900-01-01,14063.86,0.0,Em aberto,Boleto
CR000232,C0050,2026-06-10,2026-06-24,1900-01-01,11540.93,0.0,Vencido,Boleto
CR000233,C0035,2026-03-24,2026-05-23,2026-05-24,4948.29,4948.29,Pago,NAO INFORMADO
CR000234,C0007,2026-05-17,2026-06-16,2026-06-13,5468.95,5468.95,Pago,Boleto
CR000235,C0034,2026-03-14,2026-04-04,1900-01-01,11748.48,0.0,Em aberto,Transferência
CR000236,C0011,2026-01-27,2026-02-10,2026-02-10,2571.96,2571.96,Pago,PIX
CR000237,C0027,2026-04-28,2026-05-05,2026-05-02,2013.52,2013.52,Pago,Cartão
CR000238,C0023,2026-03-21,2026-05-05,1900-01-01,5629.76,0.0,Em aberto,Transferência
CR000239,C0012,2026-07-01,2026-07-22,2026-07-22,722.77,722.77,Pago,Boleto
CR000240,C0045,2026-02-06,2026-03-23,2026-03-23,3630.64,3630.64,Pago,Boleto
CR000241,C0006,2026-04-19,2026-06-03,2026-06-01,11516.45,11516.45,Pago,PIX
CR000242,C0050,2026-05-04,2026-07-03,2026-07-01,6639.34,6639.34,Pago,PIX
CR000243,C0043,2026-05-12,2026-06-11,2026-06-12,0.0,0.0,Pago,PIX
CR000244,C0005,2026-03-19,2026-05-03,2026-05-01,451.0,451.0,Pago,Boleto
CR000245,C0038,2026-08-19,2026-09-02,2026-08-30,3016.29,3016.29,Pago,PIX
CR000246,C0010,2026-08-05,2026-09-19,1900-01-01,14145.12,0.0,Vencido,Transferência
CR000247,C0023,2026-02-11,2026-04-12,1900-01-01,7659.33,0.0,Vencido,Boleto
CR000248,C0033,2026-05-26,2026-06-02,1900-01-01,1756.85,0.0,Vencido,PIX
CR000249,C0034,2026-02-25,2026-04-11,2026-04-10,3115.75,3115.75,Pago,PIX
CR000250,C0047,2026-01-26,2026-02-09,1900-01-01,13831.01,0.0,Em aberto,Transferência
CR000251,C0045,2026-05-31,2026-06-14,2026-06-13,6763.09,6763.09,pago,Transferência
CR000252,C0025,2026-04-19,2026-05-03,1900-01-01,7859.49,0.0,Em aberto,NAO INFORMADO
CR000253,C0049,2026-03-22,2026-03-29,1900-01-01,7148.75,0.0,Em aberto,Boleto
CR000254,C0032,2026-07-15,2026-08-05,1900-01-01,10659.54,0.0,Em aberto,PIX
CR000255,C0006,2026-03-25,2026-04-22,2026-04-26,2001.12,2001.12,Pago,Transferência
CR000256,C0044,2026-08-04,2026-09-01,1900-01-01,3620.34,0.0,Em aberto,Transferência
CR000257,C0028,2026-02-18,2026-04-19,1900-01-01,1323.25,0.0,Em aberto,Transferência
CR000258,C0012,2026-01-04,2026-02-18,2026-02-21,7527.23,7527.23,Pago,Cartão
CR000259,C0034,2026-06-18,2026-08-02,2026-08-05,1549.59,1549.59,Pago,Cartão
CR000260,C0045,2026-06-01,2026-06-08,2026-06-06,11199.05,11199.05,Pago,Transferência
CR000261,C0013,2026-03-28,2026-04-11,1900-01-01,9045.92,0.0,Em aberto,PIX
CR000262,C0015,2026-08-03,2026-08-31,2026-09-01,10960.45,10960.45,Pago,Cartão
CR000263,C0023,2026-05-02,2026-06-16,1900-01-01,9166.53,0.0,Em aberto,Cartão
CR000264,C0033,2026-03-13,2026-03-27,2026-03-25,11589.59,11589.59,Pago,Transferência
CR000265,C0032,2026-05-08,2026-05-22,2026-05-19,9537.05,9537.05,Pago,PIX
CR000266,C0048,2026-01-14,2026-03-15,2026-03-14,1302.96,1302.96,Pago,Cartão
CR000267,C0039,2026-06-23,2026-07-14,1900-01-01,2545.23,0.0,Vencido,PIX
CR000268,NAO INFORMADO,2026-01-20,2026-03-06,1900-01-01,11348.66,0.0,Em aberto,Cartão
CR000269,C0013,2026-03-17,2026-05-01,1900-01-01,7619.12,0.0,Em aberto,Transferência
CR000270,C0035,2026-03-29,2026-05-28,1900-01-01,12937.18,0.0,Em aberto,PIX
CR000271,C0049,2026-01-09,2026-02-06,2026-02-09,13237.85,13237.85,Pago,Cartão
CR000272,C0021,2026-08-07,2026-09-04,2026-09-01,6805.58,6805.58,Pago,Boleto
CR000273,C0036,2026-06-18,2026-08-17,2026-08-21,11756.92,11756.92,Pago,Cartão
CR000274,C0009,2026-03-21,2026-05-05,2026-05-09,6019.48,6019.48,Pago,Cartão
CR000275,C0031,2026-05-24,2026-07-23,2026-07-26,2597.77,2597.77,Pago,Transferência
CR000276,C0032,2026-06-01,2026-06-29,2026-06-30,9369.01,9369.01,Pago,Transferência
CR000277,C0004,2026-01-08,2026-02-07,2026-02-09,963.24,963.24,Pago,PIX
CR000278,C0049,2026-08-17,2026-10-01,2026-10-04,5316.47,5316.47,Pago,Transferência
CR000279,C0023,2026-04-16,2026-05-07,2026-05-07,1129.8,1129.8,Pago,Boleto
CR000280,C0042,2026-03-21,2026-04-20,2026-04-21,1548.64,1548.64,Pago,PIX
CR000281,C0022,2026-02-13,2026-02-20,2026-02-24,8214.73,8214.73,Pago,Cartão
