id_movimento;data_movimento;tipo;categoria;descricao;valor;conta_bancaria;conciliado
MB000136;2026-07-07;Entrada;Outros;Outros - operação 136;1554.02;Banco A;Não
MB000137;2026-06-01;Saída;Transferência;Transferência - operação 137;6859.77;Banco B;Sim
MB000138;2026-05-11;Saída;Energia;Energia - operação 138;17008.59;Banco A;Sim
MB000139;2026-03-18;Saída;Impostos;Impostos - operação 139;916.77;Banco C;Sim
MB000140;2026-05-29;Saída;Tarifa bancária;Tarifa bancária - operação 140;5170.37;Banco B;Sim
MB000141;2026-07-13;Entrada;Salário;Salário - operação 141;802.72;Banco C;Sim
MB000142;2026-04-21;Saída;Energia;Energia - operação 142;10373.72;Banco C;Sim
MB000143;2026-01-26;Saída;Energia;Energia - operação 143;3022.39;Banco B;Sim
MB000144;2026-05-05;Saída;Aluguel;Aluguel - operação 144;15942.02;Banco B;Sim
MB000145;2026-06-05;Entrada;Aluguel;Aluguel - operação 145;12012.48;Banco A;Sim
MB000146;2026-02-22;  Saída ;Outros;Outros - operação 146;13599.82;Banco A;Não
MB000147;2026-08-20;Entrada;Outros;Outros - operação 147;9705.59;Banco A;Sim
MB000148;2026-05-06;Entrada;Impostos;Impostos - operação 148;3696.38;Banco C;Sim
MB000149;2026-07-07;Saída;Outros;Outros - operação 149;2314.91;Banco B;
MB000150;2026-01-29;Entrada;Transferência;Transferência - operação 150;16005.39;Banco B;
MB000151;2026-01-23;Entrada;Energia;Energia - operação 151;13182.83;Banco A;Sim
MB000152;2026-07-25;Entrada;Aluguel;Aluguel - operação 152;13106.14;Banco B;Sim
MB000153;2026-05-10;Saída;Energia;Energia - operação 153;8189.68;Banco C;Sim
MB000154;2026-06-22;Entrada;Impostos;Impostos - operação 154;16066.29;Banco A;Sim
MB000155;2026-01-26;Saída;Impostos;;3467.66;Banco C;Sim
MB000156;2026-06-12;Entrada;Aluguel;Aluguel - operação 156;2506.9;Banco B;Sim
MB000157;2026-06-22;Entrada;Energia;Energia - operação 157;8488.57;Banco B;Sim
MB000158;2026-07-07;Saída;Energia;Energia - operação 158;2415.67;Banco C;Sim
MB000159;2026-05-13;Entrada;Recebimento de cliente;Recebimento de cliente - operação 159;7846.02;  Banco B ;Sim
MB000160;2026-06-06;Entrada;Salário;Salário - operação 160;746.69;Banco C;Sim
MB000161;2026-06-07;Saída;Aluguel;Aluguel - operação 161;11496.98;Banco B;Sim
MB000162;2026-06-18;Entrada;Energia;Energia - operação 162;15140.42;Banco B;Sim
MB000163;2026-05-06;Saída;Impostos;Impostos - operação 163;9804.27;Banco B;Sim
MB000164;2026-02-26;Entrada;Energia;Energia - operação 164;7581.71;Banco B;Sim
MB000165;2026-03-05;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 165;3212.69;Banco B;  Sim 
MB000166;2026-03-30;Saída;Salário;Salário - operação 166;13937.59;  Banco B ;Sim
MB000167;2026-06-03;Saída;Aluguel;Aluguel - operação 167;569.88;Banco B;Sim
MB000168;2026-02-25;Saída;Recebimento de cliente;Recebimento de cliente - operação 168;10142.52;Banco B;Sim
MB000169;2026-06-22;Saída;Tarifa bancária;Tarifa bancária - operação 169;7075.24;Banco B;Sim
MB000170;2026-04-13;Entrada;Recebimento de cliente;Recebimento de cliente - operação 170;4866.29;Banco C;Sim
MB000171;2026-03-28;Entrada;Energia;Energia - operação 171;8085.07;Banco A;Não
MB000172;2026-08-13;Entrada;Outros;Outros - operação 172;3751.3;Banco C;Sim
MB000173;2026-06-07;Saída;Impostos;Impostos - operação 173;2369.42;Banco C;Sim
MB000174;2026-07-04;Entrada;Tarifa bancária;Tarifa bancária - operação 174;1670.04;Banco C;Sim
MB000175;2026-04-01;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 175;11806.02;Banco C;Sim
MB000176;2026-04-03;Saída;Aluguel;Aluguel - operação 176;17734.65;Banco C;Sim
MB000177;2026-08-09;Entrada;Energia;Energia - operação 177;14433.07;Banco B;Sim
MB000178;2026-04-16;Entrada;Outros;Outros - operação 178;13213.35;;Sim
MB000179;2026-08-05;Entrada;Outros;Outros - operação 179;1890.25;Banco B;Sim
MB000180;2026-01-11;Entrada;Energia;Energia - operação 180;5461.32;Banco A;Sim
MB000181;2026-01-09;Entrada;Pagamento fornecedor;pagamento fornecedor - operação 181;14643.28;Banco B;Sim
MB000182;2026-02-03;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 182;1423.66;Banco C;Sim
MB000183;2026-01-06;Entrada;Outros;Outros - operação 183;10907.45;Banco A;Sim
MB000184;2026-07-08;Saída;;Tarifa bancária - operação 184;3537.4;Banco C;Sim
MB000185;2026-07-20;;Tarifa bancária;Tarifa bancária - operação 185;9246.78;Banco A;Sim
MB000186;2026-03-12;Saída;Aluguel;Aluguel - operação 186;1839.24;Banco C;Não
MB000187;2026-05-01;Saída;Energia;Energia - operação 187;7760.15;Banco A;Sim
MB000188;2026-05-24;Entrada;Transferência;Transferência - operação 188;5155.39;Banco C;Sim
MB000189;2026-05-10;Entrada;Tarifa bancária;Tarifa bancária - operação 189;358.96;Banco B;Sim
MB000190;2026-04-06;Saída;Pagamento fornecedor;  Pagamento fornecedor - operação 190 ;8168.25;Banco C;Sim
MB000191;2026-04-12;Entrada;Transferência;Transferência - operação 191;6688.3;Banco C;Sim
MB000192;2026-06-14;Entrada;;Impostos - operação 192;2630.69;;Sim
MB000193;2026-01-25;saída;Salário;Salário - operação 193;3777.89;Banco B;Não
MB000194;2026-03-05;Entrada;Salário;Salário - operação 194;7287.35;Banco B;Sim
MB000195;2026-07-05;;Aluguel;Aluguel - operação 195;1107.85;Banco B;Sim
MB000196;2026-04-16;Entrada;Impostos;Impostos - operação 196;15026.11;Banco A;Sim
MB000197;2026-06-26;Saída;Tarifa bancária;Tarifa bancária - operação 197;15692.13;Banco B;Sim
MB000198;2026-07-13;Saída;Transferência;Transferência - operação 198;9843.32;;Sim
MB000199;2026-03-24;Saída;Transferência;Transferência - operação 199;9284.04;Banco C;Sim
MB000200;2026-01-27;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 200;6793.56;Banco A;Sim
MB000201;2026-05-14;Entrada;Salário;Salário - operação 201;3592.75;Banco A;Sim
MB000202;2026-08-15;Saída;Transferência;transferência - operação 202;3114.46;Banco C;Sim
MB000203;2026-02-05;Saída;Tarifa bancária;Tarifa bancária - operação 203;7219.33;Banco B;Sim
MB000204;2026-04-22;Entrada;Energia;Energia - operação 204;9428.52;Banco C;Sim
MB000205;2026-05-25;Entrada;Salário;Salário - operação 205;;Banco C;Sim
MB000206;2026-07-25;Saída;Impostos;Impostos - operação 206;9372.87;Banco B;Sim
MB000207;2026-04-29;Entrada;Impostos;Impostos - operação 207;16691.08;Banco C;Sim
MB000208;2026-02-12;Saída;Transferência;Transferência - operação 208;226.29;Banco B;Sim
MB000209;2026-02-08;  Saída ;Pagamento fornecedor;Pagamento fornecedor - operação 209;17879.92;Banco A;Sim
MB000210;2026-06-29;Entrada;Aluguel;Aluguel - operação 210;12508.11;Banco C;Sim
MB000211;2026-03-26;Entrada;Recebimento de cliente;Recebimento de cliente - operação 211;11268.26;Banco C;Sim
MB000212;2026-01-18;Saída;Outros;Outros - operação 212;15906.01;Banco B;Sim
MB000213;2026-02-19;Entrada;Energia;Energia - operação 213;14782.54;Banco B;Não
MB000214;2026-07-06;Entrada;Impostos;  Impostos - operação 214 ;11259.79;Banco B;Sim
MB000215;24-05-2026;Saída;Aluguel;Aluguel - operação 215;1440.7;Banco A;Sim
MB000216;2026-07-07;Entrada;Energia;Energia - operação 216;3250.94;Banco C;Sim
MB000217;2026-02-02;Saída;Tarifa bancária;Tarifa bancária - operação 217;5976.38;Banco C;Não
MB000218;2026-03-12;Saída;Transferência;Transferência - operação 218;3807.06;Banco A;Sim
MB000219;2026-02-25;Entrada;Salário;Salário - operação 219;2622.83;Banco B;Sim
MB000220;2026-03-24;Entrada;Recebimento de cliente;Recebimento de cliente - operação 220;2508.7;Banco B;Sim
MB000221;2026-06-20;Saída;Impostos;Impostos - operação 221;5480.92;Banco A;Sim
MB000222;2026-05-24;Saída;Tarifa bancária;Tarifa bancária - operação 222;13941.86;Banco C;Sim
MB000223;2026-04-01;Entrada;Outros;Outros - operação 223;5739.65;Banco A;Não
MB000224;2026-08-04;Entrada;Salário;Salário - operação 224;17021.54;Banco B;Sim
MB000225;2026-08-04;Saída;Outros;Outros - operação 225;7977.56;Banco C;Sim
MB000226;2026-06-25;Entrada;Outros;Outros - operação 226;16200.73;Banco C;Sim
MB000227;2026-02-15;Entrada;Impostos;Impostos - operação 227;15403.93;Banco C;Sim
MB000228;2026-07-06;saída;Aluguel;Aluguel - operação 228;11124.69;Banco A;Sim
MB000229;2026-04-06;Entrada;Recebimento de cliente;Recebimento de cliente - operação 229;3565.26;Banco B;Sim
MB000230;2026-02-19;Entrada;Energia;Energia - operação 230;5945.71;Banco B;Sim
MB000231;2026-05-09;Entrada;Energia;Energia - operação 231;651.83;Banco B;Sim
MB000232;2026-04-12;Entrada;Energia;Energia - operação 232;4971.42;Banco A;Não
MB000233;2026-07-30;Entrada;Transferência;Transferência - operação 233;17950.31;Banco C;Sim
MB000234;2026-05-06;Entrada;Transferência;Transferência - operação 234;13511.35;Banco C;Sim
MB000235;2026-07-26;Entrada;Recebimento de cliente;recebimento de cliente - operação 235;6683.13;Banco C;Sim
MB000236;2026-06-30;Entrada;Salário;Salário - operação 236;1536.7;Banco A;Sim
MB000237;2026-04-24;Entrada;Impostos;Impostos - operação 237;1799.68;Banco C;Sim
MB000238;2026-08-07;Entrada;Recebimento de cliente;Recebimento de cliente - operação 238;6021.34;Banco C;Sim
MB000239;2026-08-18;Entrada;Impostos;Impostos - operação 239;9318.31;Banco C;Sim
MB000240;2026-04-17;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 240;3513.27;Banco C;Sim
MB000241;2026-07-06;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 241;3147.9;Banco A;Sim
MB000242;2026-06-05;Entrada;Outros;Outros - operação 242;7396.06;Banco C;Sim
MB000243;2026-03-21;Entrada;Outros;Outros - operação 243;6344.79;Banco B;Sim
MB000244;2026-05-26;Entrada;;Transferência - operação 244;1632.51;Banco A;Sim
MB000245;2026-07-06;Entrada;Salário;Salário - operação 245;5749.15;Banco C;Sim
MB000246;2026-07-16;Entrada;Recebimento de cliente;Recebimento de cliente - operação 246;3954.59;Banco B;Sim
MB000247;2026-01-21;Entrada;Energia;Energia - operação 247;15079.68;Banco C;Sim
MB000248;2026-07-11;Entrada;Energia;Energia - operação 248;1007.37;Banco C;Sim
MB000249;2026-02-15;Entrada;Salário;Salário - operação 249;10192.47;Banco B;Sim
MB000250;2026-08-02;Entrada;Energia;Energia - operação 250;15910.06;Banco A;Sim
MB000251;2026-03-08;Saída;Energia;Energia - operação 251;1708.8;Banco B;Não
MB000252;2026-04-04;Saída;Outros;Outros - operação 252;8121.63;Banco C;Sim
MB000253;2026-01-10;Saída;Tarifa bancária;Tarifa bancária - operação 253;2844.89;Banco C;Sim
MB000254;2026-06-29;Saída;Impostos;Impostos - operação 254;11645.84;Banco C;Sim
MB000255;2026-02-23;Saída;  Outros ;Outros - operação 255;9951.42;Banco C;Sim
MB000256;2026-01-24;Saída;Aluguel;Aluguel - operação 256;4684.94;Banco B;Sim
MB000257;2026-01-09;Entrada;;Outros - operação 257;11867.06;Banco A;Sim
MB000258;2026-02-05;Saída;Impostos;Impostos - operação 258;6732.48;Banco B;Não
MB000259;2026-08-19;Entrada;Impostos;Impostos - operação 259;12638.12;Banco C;Sim
MB000260;2026-08-11;Entrada;Salário;Salário - operação 260;7614.27;Banco B;Sim
MB000261;2026-06-15;Entrada;Salário;Salário - operação 261;16441.02;Banco B;Sim
MB000262;2026-04-30;Saída;Salário;Salário - operação 262;13549.21;Banco B;  Não 
MB000263;2026-04-27;Saída;Tarifa bancária;Tarifa bancária - operação 263;13170.64;Banco B;Sim
MB000264;2026-03-06;Saída;Impostos;Impostos - operação 264;8711.91;Banco B;Sim
MB000265;2026-01-11;Entrada;Outros;Outros - operação 265;1986.0;Banco B;Sim
MB000266;2026-05-28;Saída;Recebimento de cliente;Recebimento de cliente - operação 266;2994.27;Banco A;Sim
MB000267;2026-08-15;Saída;Outros;Outros - operação 267;3612.4;Banco C;Sim
MB000268;2026-02-03;Saída;Recebimento de cliente;Recebimento de cliente - operação 268;17467.34;Banco B;Sim
MB000269;2026-07-25;Saída;Transferência;Transferência - operação 269;7158.09;Banco B;Sim
MB000270;2026-06-18;Entrada;Aluguel;Aluguel - operação 270;15899.04;Banco B;Sim
MB000271;2026-01-21;Entrada;Aluguel;Aluguel - operação 271;15446.83;Banco B;Sim
MB000272;2026-07-05;Entrada;Salário;Salário - operação 272;12340.61;Banco B;Sim
MB000273;2026-05-03;Entrada;Impostos;Impostos - operação 273;1843.45;Banco C;Sim
MB000274;2026-06-28;Entrada;Transferência;Transferência - operação 274;12048.44;Banco B;Sim
MB000275;2026-07-15;Entrada;Tarifa bancária;Tarifa bancária - operação 275;2356.62;Banco A;Sim
MB000276;2026-07-17;Saída;Energia;Energia - operação 276;14765.25;Banco C;Sim
MB000277;2026-06-02;Saída;Outros;Outros - operação 277;1336.24;Banco B;Não
MB000278;2026-01-07;Entrada;Salário;Salário - operação 278;13832.8;Banco B;Sim
MB000279;2026-03-29;Saída;Recebimento de cliente;Recebimento de cliente - operação 279;11009.67;Banco B;Sim
MB000280;2026-06-15;Entrada;Salário;Salário - operação 280;9024.1;Banco A;Sim
MB000281;2026-03-19;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 281;6145.58;Banco C;Sim
MB000282;2026-04-19;Entrada;Energia;Energia - operação 282;5634.1;Banco C;Sim
MB000283;2026-01-09;Entrada;Tarifa bancária;Tarifa bancária - operação 283;3272.35;Banco B;  Sim 
MB000284;2026-08-02;Entrada;Transferência;;14521.81;Banco B;Sim
MB000285;2026-06-17;Saída;Recebimento de cliente;Recebimento de cliente - operação 285;2937.86;Banco A;Não
MB000286;2026-05-10;Saída;Transferência;transferência - operação 286;258.02;banco c;Sim
MB000287;2026-04-19;Entrada;Energia;Energia - operação 287;7678.41;Banco C;Sim
MB000288;2026-06-04;Saída;Outros;Outros - operação 288;6742.21;Banco B;Sim
MB000289;2026-08-05;Saída;Impostos;Impostos - operação 289;2054.51;Banco A;Sim
MB000290;2026-05-17;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 290;2749.45;Banco B;Não
MB000291;2026-03-08;Entrada;Outros;Outros - operação 291;14640.39;Banco C;Sim
MB000292;2026-04-22;Entrada;Transferência;Transferência - operação 292;5106.77;Banco A;Sim
MB000293;2026-04-28;Saída;Recebimento de cliente;Recebimento de cliente - operação 293;16010.53;Banco C;Sim
MB000294;2026-03-06;Saída;Impostos;Impostos - operação 294;12166.18;Banco A;Sim
