id_venda;data_venda;id_cliente;id_produto;quantidade;valor_unitario;desconto;forma_pagamento;status_venda;valor_total
V000033;2026-08-01;C0024;P0068;17.0;76.19;;Cartão;Faturada;1295.23
V000034;2026/01/20;C0019;P0044;26.0;183.32;0.0;Boleto;faturada;4766.32
V000035;2026-01-04;C0036;P0047;3.0;201.57;0.0;PIX;Faturada;604.71
V000036;2026-06-13;C0024;P0034;19.0;94.59;0.0;PIX;Faturada;1797.21
V000037;2026-05-24;C0031;P0004;20.0;29.55;0.0;Boleto;Faturada;
V000038;2026-06-16;C0041;P0060;30.0;175.63;5.0;PIX;Faturada;5263.9
V000039;2026-01-30;C0003;P0005;10.0;117.63;0.0;Boleto;Cancelada;1176.3
V000040;10-07-2026;C0009;P0050;15.0;63.66;20.0;Transferência;Devolvida;934.9
V000041;2026-01-26;C0048;P0020;29.0;19.49;50.0;Transferência;Devolvida;515.21
V000042;2026-02-25;C0027;P0036;2.0;112.82;5.0;Transferência;Faturada;220.64
V000043;2026-08-19;C0024;P0013;22.0;153.82;20.0;Cartão;Faturada;3364.04
V000044;2026-08-06;C0026;P0036;7.0;117.5;50.0;Transferência;Faturada;772.5
V000045;2026-01-06;C0043;P0028;21.0;58.33;0.0;Cartão;Faturada;1224.93
V000046;2026-07-15;C0009;P0073;7.0;172.7;10.0;Boleto;Devolvida;1198.9
V000047;2026-07-21;C0014;P0030;11.0;133.73;10.0;PIX;Faturada;1461.03
V000048;2026-02-14;C0010;P0017;18.0;107.96;0.0;PIX;Faturada;1943.28
V000049;2026-05-31;C0001;P0046;26.0;162.7;0.0;PIX;Faturada;4230.2
V000050;2026-05-15;C0017;P0007;5.0;98.82;0.0;PIX;Faturada;494.1
V000051;2026-04-26;C0029;;;195.72;10.0;boleto;Devolvida;3317.24
V000052;2026-01-08;C0003;P0067;10.0;139.76;0.0;Transferência;Faturada;1397.6
V000053;2026-04-24;C0028;P0014;16.0;103.35;0.0;PIX;Faturada;1653.6
V000054;2026-06-09;C0039;P0019;3.0;34.85;20.0;Cartão;Faturada;84.55
V000055;2026-06-04;C0039;P0068;10.0;71.12;5.0;PIX;Faturada;706.2
V000056;2026-04-21;C0042;P0071;24.0;148.02;5.0;Boleto;Faturada;3547.48
V000057;2026-01-25;C0022;P0059;13.0;176.73;0.0;Transferência;Faturada;2297.49
V000058;2026-06-25;C0043;P0033;12.0;110.86;5.0;PIX;Faturada;1325.32
V000059;2026-07-09;C0006;P0012;14.0;202.3;0.0;Boleto;Cancelada;2832.2
V000060;2026-06-21;C0004;P0076;18.0;166.18;0.0;Transferência;;2991.24
V000061;2026-01-14;C0043;P0055;28.0;178.13;0.0;Cartão;Faturada;4987.64
V000062;2026-06-18;C0007;P0074;17.0;35.7;5.0;Boleto;Faturada;601.9
V000063;2026-03-13;C0023;P0072;12.0;155.57;10.0;Boleto;Faturada;1856.84
V000064;2026-05-23;C0036;P0080;20.0;196.22;0.0;Cartão;Faturada;3924.4
V000065;2026-03-28;C0012;P0035;23.0;221.07;0.0;PIX;Faturada;5084.61
V000066;06/02/2026;C0010;P0073;22.0;182.15;20.0;PIX;Faturada;3987.3
V000067;2026-04-27;C0048;P0068;7.0;70.27;0.0;Boleto;Faturada;491.89
V000068;2026-06-02;C0020;P0042;25.0;240.95;0.0;PIX;Faturada;6023.75
V000069;2026-03-11;C0011;P0080;2.0;196.19;5.0;Transferência;Faturada;387.38
V000070;2026-07-13;C0039;P0057;14.0;79.48;10.0;PIX;Faturada;1102.72
V000071;2026-06-01;C0028;P0015;10.0;3.11;5.0;Cartão;Faturada;26.1
V000072;2026-02-22;C0015;P0051;20.0;102.76;0.0;Boleto;Faturada;2055.2
V000073;2026-01-02;C0049;P0033;10.0;100.89;5.0;Transferência;Faturada;1003.9
V000074;2026-05-09;C0009;P0049;18.0;158.03;10.0;Cartão;Faturada;2834.54
V000075;2026-01-20;C0026;P0006;14.0;87.97;50.0;Cartão;Devolvida;1181.58
V000076;2026-04-17;C0028;P0074;13.0;38.56;0.0;  PIX ;Faturada;501.28
V000077;2026-06-08;C0002;P0042;6.0;236.08;5.0;Cartão;Faturada;1411.48
V000078;2026-04-13;;P0014;8.0;99.09;;PIX;Faturada;782.72
V000079;2026-02-13;C0020;P0044;8.0;189.85;0.0;PIX;Cancelada;1518.8
V000080;2026-03-31;;p0025;29.0;150.64;20.0;Boleto;Faturada;4348.56
V000081;2026-06-04;C0007;P0019;9.0;35.25;0.0;PIX;Faturada;317.25
V000082;2026-07-14;C0050;P0064;15.0;15.38;10.0;Transferência;Devolvida;220.7
V000083;2026-06-10;C0042;P0080;11.0;201.79;0.0;Boleto;Faturada;2219.69
V000084;2026-07-23;C0005;P0061;15.0;45.29;0.0;PIX;Faturada;679.35
V000085;2026-01-10;C0033;P0010;10.0;46.57;0.0;Cartão;Faturada;465.7
V000086;2026-04-09;C0005;  P0012 ;20.0;218.81;5.0;PIX;Faturada;4371.2
V000087;2026-05-09;C0037;P0025;11.0;146.83;0.0;PIX;Faturada;1615.13
V000088;2026-06-15;C0007;P0044;23.0;182.39;0.0;PIX;Faturada;4194.97
V000089;2026-06-06;C0046;P0057;15.0;82.66;0.0;Cartão;Faturada;1239.9
V000090;2026-06-23;C0019;P0050;14.0;67.69;10.0;PIX;Faturada;937.66
V000091;2026-04-09;C0005;P0043;4.0;219.51;0.0;Cartão;Devolvida;878.04
V000092;2026-02-06;C0010;P0043;3.0;220.34;0.0;Cartão;Faturada;661.02
V000093;2026-03-21;C0009;P0077;23.0;12.96;10.0;Transferência;Faturada;288.08
V000094;2026-04-19;C0009;P0068;3.0;73.24;10.0;Cartão;Faturada;209.72
V000095;2026-03-29;C0024;P0040;6.0;156.67;50.0;Transferência;Faturada;890.02
V000096;2026-08-05;C0015;  P0018 ;5.0;;50.0;PIX;Cancelada;632.6
V000097;2026-05-15;C0050;P0070;27.0;60.5;0.0;Cartão;Devolvida;1633.5
V000098;2026-02-16;C0009;P0077;13.0;11.49;50.0;Boleto;Faturada;99.37
V000099;2026-03-02;C0003;P0053;12.0;144.5;5.0;Cartão;Faturada;1729.0
V000100;2026-07-27;C0015;P0069;8.0;25.1;50.0;Transferência;Faturada;150.8
V000101;2026-03-14;C0024;P0074;15.0;37.13;50.0;Transferência;Cancelada;506.95
V000102;2026-07-25;C0034;P0054;6.0;23.81;10.0;Boleto;Faturada;132.86
V000103;2026-01-27;C0004;P0062;28.0;15.21;20.0;PIX;Faturada;405.88
V000104;2026-05-12;C0006;P0021;9.0;116.25;0.0;Transferência;;1046.25
V000105;2026-01-07;C0015;P0058;29.0;54.9;5.0;PIX;Faturada;1587.1
V000106;2026-01-21;C0033;P0048;8.0;107.25;0.0;Boleto;Faturada;858.0
V000107;2026-03-27;C0021;P0013;27.0;162.21;50.0;Boleto;  Faturada ;4329.67
V000108;2026-06-28;C0003;P0037;30.0;82.43;50.0;Boleto;Faturada;2422.9
V000109;2026-01-05;C0029;P0079;1.0;118.62;0.0;Boleto;Faturada;118.62
V000110;2026-07-18;C0036;P0078;17.0;222.54;0.0;Boleto;Faturada;3783.18
V000111;2026-07-23;C0008;P0007;8.0;94.1;10.0;Transferência;Faturada;742.8
V000112;2026-06-11;C0008;P0064;20.0;14.88;10.0;Boleto;Faturada;287.6
V000113;2026-03-03;C0019;P0055;1.0;170.37;10.0;Transferência;Faturada;160.37
V000114;2026-01-18;C0043;P0011;17.0;136.64;10.0;PIX;Faturada;2312.88
V000115;2026-04-06;C0031;P0006;21.0;93.35;0.0;PIX;Faturada;1960.35
V000116;2026-06-10;C0005;P0045;8.0;166.81;0.0;Cartão;Faturada;1334.48
V000117;2026-06-14;C0003;P0046;18.0;151.92;0.0;  Transferência ;Faturada;2734.56
V000118;2026-07-03;C0041;P0024;26.0;31.84;50.0;Transferência;Faturada;777.84
V000119;2026-08-15;C0019;P0026;2.0;117.66;0.0;Cartão;Faturada;235.32
V000120;2026-03-06;C0033;P0051;27.0;111.04;0.0;Boleto;Faturada;2998.08
V000121;2026-03-11;C0023;P0007;28.0;97.56;0.0;Cartão;Faturada;2731.68
V000122;2026-03-28;C0026;P0057;29.0;88.14;0.0;Transferência;Faturada;2556.06
V000123;2026-07-06;C0024;P0067;9.0;147.19;5.0;PIX;Faturada;1319.71
V000124;2026-01-27;C0039;P0024;18.0;32.66;0.0;Cartão;Faturada;587.88
V000125;2026-02-12;C0020;P0058;20.0;58.08;20.0;Transferência;Faturada;1141.6
V000126;2026-04-01;C0029;P0006;24.0;100.41;10.0;Transferência;Faturada;2399.84
V000127;2026-04-14;C0041;P0008;3.0;231.28;0.0;Boleto;Faturada;693.84
V000128;2026-01-09;C0010;P0078;22.0;234.94;0.0;PIX;Faturada;5168.68
V000129;2026-05-26;C0050;P0047;12.0;189.47;0.0;Boleto;  Faturada ;2273.64
V000130;2026-05-27;C0024;P0048;15.0;113.58;0.0;;Faturada;1703.7
V000131;2026-01-07;C0021;P0036;8.0;117.38;20.0;Boleto;Faturada;919.04
V000132;2026-03-09;C0034;P0050;30.0;65.56;50.0;Cartão;Faturada;1916.8
V000133;2026-05-06;C0014;P0079;10.0;114.98;0.0;PIX;;1149.8
V000134;2026-04-24;;P0058;6.0;59.65;0.0;Cartão;Faturada;357.9
V000135;2026-08-17;C0046;P0009;18.0;172.39;0.0;Boleto;Faturada;3103.02
V000136;2026-02-21;C0024;  P0066 ;8.0;68.87;50.0;Boleto;Faturada;500.96
V000137;2026-04-05;C0032;P0004;12.0;28.14;5.0;Boleto;Devolvida;332.68
V000138;2026-07-03;C0006;P0009;;168.59;20.0;;Cancelada;1665.9
V000139;2026-02-02;C0027;P0053;27.0;142.3;0.0;PIX;Faturada;3842.1
V000140;2026-08-01;C0030;P0067;12.0;132.63;50.0;Boleto;Faturada;1541.56
V000141;2026-08-01;C0028;P0065;30.0;143.97;0.0;Boleto;Faturada;4319.1
V000142;2026-02-27;C0011;P0021;11.0;125.0;0.0;Cartão;Faturada;1375.0
V000143;2026-03-12;C0017;P0026;21.0;120.52;0.0;Cartão;Devolvida;2530.92
V000144;2026-06-01;C0035;P0012;17.0;220.37;10.0;Boleto;Faturada;3736.29
V000145;2026-03-28;C0043;P0080;24.0;202.9;50.0;PIX;Faturada;4819.6
V000146;2026-03-09;C0006;P0006;21.0;98.97;20.0;Boleto;Devolvida;2058.37
V000147;2026-08-16;C0027;P0080;21.0;177.27;20.0;Cartão;Faturada;3702.67
V000148;2026-04-14;C0031;P0032;26.0;88.19;0.0;  Transferência ;Faturada;2292.94
V000149;2026-05-04;  C0045 ;P0008;6.0;223.25;5.0;Boleto;Faturada;1334.5
V000150;2026-03-23;C0039;P0019;11.0;39.03;20.0;Cartão;Faturada;409.33
V000151;2026-03-23;C0009;P0048;17.0;110.2;0.0;Transferência;Faturada;1873.4
V000152;2026-01-13;C0018;P0058;8.0;53.09;0.0;Transferência;Devolvida;424.72
V000153;2026-07-28;C0027;P0032;28.0;89.42;0.0;Cartão;Faturada;2503.76
V000154;2026-04-30;C0049;P0021;16.0;126.11;5.0;Cartão;Faturada;2012.76
V000155;2026-03-03;C0002;P0012;13.0;215.87;0.0;Cartão;Faturada;2806.31
V000156;2026-08-04;C0004;P0037;16.0;79.63;20.0;Transferência;Faturada;1254.08
V000157;2026-02-04;C0035;P0002;28.0;214.7;0.0;Cartão;Faturada;6011.6
V000158;2026-05-24;C0024;P0006;13.0;88.44;0.0;Cartão;Cancelada;1149.72
V000159;2026-07-15;C0019;P0010;13.0;46.88;10.0;Cartão;Devolvida;599.44
V000160;2026-01-25;C0044;P0079;4.0;105.27;5.0;Cartão;Faturada;416.08
V000161;2026-06-04;C0036;P0047;25.0;182.38;10.0;Transferência;Cancelada;4549.5
V000162;2026-03-27;;P0006;2.0;89.7;50.0;;Cancelada;129.4
V000163;2026-02-05;C0030;P0020;20.0;20.95;0.0;Cartão;Faturada;419.0
V000164;2026-06-01;C0026;P0079;24.0;117.53;0.0;Transferência;Devolvida;2820.72
V000165;2026-03-26;C0020;P0061;27.0;;20.0;PIX;Faturada;1089.43
V000166;2026-08-12;C0038;P0040;26.0;155.49;20.0;PIX;Devolvida;4022.74
V000167;2026-07-18;C0031;P0034;21.0;100.54;10.0;Boleto;Faturada;2101.34
V000168;2026-07-04;C0038;;6.0;15.58;10.0;  Transferência ;Faturada;83.48
V000169;2026-06-29;C0044;P0032;2.0;85.15;0.0;Boleto;Faturada;170.3
V000170;2026-06-26;C0029;P0041;14.0;;0.0;Transferência;Cancelada;2940.42
V000171;2026-08-06;C0050;P0079;30.0;111.16;20.0;PIX;Faturada;3314.8
V000172;2026-06-19;C0034;P0027;18.0;111.81;5.0;Transferência;Faturada;2007.58
V000173;2026-05-20;C0012;P0059;30.0;179.96;0.0;Cartão;  Devolvida ;5398.8
V000174;2026-03-18;C0031;P0025;8.0;139.58;0.0;Cartão;Faturada;1116.64
V000175;2026-03-23;C0046;P0027;23.0;118.53;5.0;Cartão;Cancelada;2721.19
V000176;2026-06-23;C0047;P0036;10.0;103.23;10.0;Transferência;Faturada;1022.3
V000177;2026-07-02;C0023;P0019;10.0;34.37;0.0;Cartão;Faturada;343.7
V000178;2026-02-21;C0042;P0033;24.0;103.3;50.0;Cartão;Cancelada;2429.2
V000179;2026-07-09;C0045;;5.0;199.72;10.0;Boleto;Faturada;988.6
V000180;2026-01-14;C0004;P0068;8.0;73.15;0.0;Transferência;Faturada;585.2
V000181;2026-02-05;C0046;P0061;4.0;45.63;0.0;Boleto;Faturada;182.52
V000182;2026-07-13;C0042;  P0061 ;16.0;45.42;0.0;Cartão;Faturada;726.72
V000183;2026-06-16;C0042;P0008;30.0;234.66;10.0;Boleto;cancelada;7029.8
V000184;2026-04-17;C0048;P0005;30.0;116.37;50.0;Boleto;Faturada;3441.1
V000185;2026-08-12;C0026;P0064;6.0;15.79;0.0;PIX;Faturada;94.74
V000186;2026-03-27;C0020;P0073;20.0;173.8;0.0;Transferência;Cancelada;3476.0
V000187;2026-08-06;C0034;P0064;29.0;15.8;10.0;Transferência;Faturada;448.2
V000188;2026-04-28;C0013;P0015;11.0;2.87;20.0;Cartão;Faturada;11.57
V000189;2026-06-22;C0001;P0044;26.0;188.71;50.0;Boleto;Faturada;4856.46
V000190;2026-03-25;C0040;P0052;27.0;44.45;0.0;Transferência;Faturada;1200.15
V000191;2026-03-05;C0012;P0018;16.0;142.05;0.0;Cartão;Faturada;2272.8
V000192;2026-03-26;C0016;P0058;25.0;54.18;0.0;PIX;Faturada;1354.5
V000193;2026-06-20;C0042;P0047;23.0;185.12;0.0;Transferência;Faturada;4257.76
V000194;2026-08-18;C0011;P0052;22.0;44.96;20.0;Cartão;Faturada;969.12
V000195;2026-02-26;C0041;P0038;12.0;113.57;0.0;Transferência;Faturada;1362.84
V000196;2026-05-21;C0030;P0078;12.0;222.28;5.0;Boleto;Faturada;2662.36
V000197;2026-05-15;C0044;P0077;28.0;12.68;5.0;Cartão;Faturada;350.04
V000198;2026-08-20;C0037;P0015;2.0;;10.0;Boleto;Devolvida;-3.64
V000199;2026-05-14;C0035;P0020;6.0;19.23;5.0;PIX;Faturada;110.38
V000200;2026-05-11;C0046;p0075;16.0;69.35;;PIX;Faturada;1104.6
V000201;2026-01-15;C0009;P0066;14.0;72.65;10.0;Transferência;Faturada;1007.1
V000202;2026-01-01;C0047;P0003;13.0;76.68;20.0;Boleto;Devolvida;976.84
V000203;2026-01-17;C0005;P0006;;92.73;10.0;PIX;Faturada;1288.22
V000204;2026-07-16;C0031;P0005;10.0;107.76;0.0;Transferência;Faturada;1077.6
V000205;2026-04-07;C0025;P0058;28.0;59.81;5.0;PIX;Cancelada;1669.68
V000206;2026-05-18;C0009;P0045;4.0;153.07;5.0;Boleto;Faturada;607.28
V000207;2026-07-04;C0001;P0003;10.0;79.23;10.0;Transferência;Cancelada;782.3
V000208;2026-02-09;C0025;P0030;8.0;127.53;0.0;Boleto;Faturada;1020.24
V000209;2026-08-15;C0003;P0054;20.0;23.64;0.0;Boleto;Faturada;472.8
V000210;2026-06-03;C0005;P0013;20.0;145.76;20.0;PIX;Faturada;2895.2
V000211;2026-05-19;C0048;P0006;13.0;94.11;0.0;PIX;Faturada;1223.43
V000212;2026-07-07;C0033;P0038;8.0;117.02;10.0;Cartão;Devolvida;926.16
V000213;2026-02-06;C0039;P0042;8.0;218.74;20.0;Boleto;Faturada;1729.92
V000214;2026-06-01;C0020;P0036;2.0;110.57;20.0;Boleto;Faturada;201.14
V000215;2026-06-14;C0036;P0064;2.0;15.88;20.0;transferência;Cancelada;11.76
V000216;2026-04-07;;P0054;14.0;21.48;0.0;Transferência;Faturada;300.72
V000217;2026-07-26;C0015;P0039;28.0;231.29;5.0;PIX;Cancelada;6471.12
V000218;2026-04-10;C0027;P0054;18.0;22.81;0.0;Cartão;Faturada;410.58
V000219;2026-04-05;C0022;P0011;30.0;126.36;0.0;Boleto;Faturada;3790.8
V000220;2026-01-11;C0018;P0049;22.0;155.71;50.0;PIX;Faturada;3375.62
V000221;2026-02-25;C0049;P0076;24.0;168.96;5.0;Boleto;;4050.04
V000222;2026-07-09;C0020;P0002;7.0;243.87;0.0;Transferência;Faturada;1707.09
V000223;2026-03-03;C0045;P0078;23.0;214.96;10.0;Cartão;Faturada;4934.08
V000224;2026-03-20;C0025;  P0060 ;18.0;174.26;0.0;Cartão;Cancelada;3136.68
V000225;2026-07-04;C0032;P0060;4.0;178.3;5.0;Cartão;Faturada;708.2
V000226;2026-08-10;C0024;P0041;14.0;206.42;0.0;Boleto;Faturada;2889.88
V000227;2026-07-04;C0017;P0071;30.0;141.95;5.0;Cartão;Faturada;4253.5
V000228;2026-08-02;C0013;P0043;8.0;213.55;0.0;Transferência;Cancelada;1708.4
V000229;2026-05-06;c0042;P0044;9.0;202.75;20.0;Transferência;Faturada;1804.75
V000230;2026-05-20;C0011;P0046;6.0;147.16;5.0;Boleto;Cancelada;877.96
V000231;2026-08-05;C0042;P0008;17.0;209.18;0.0;PIX;Faturada;3556.06
V000232;2026-01-18;C0027;P0018;27.0;148.95;20.0;Boleto;  Faturada ;4001.65
V000233;2026-06-08;C0014;P0065;15.0;133.6;20.0;Transferência;Faturada;1984.0
V000234;2026-01-04;C0002;P0001;18.0;208.87;0.0;Cartão;Cancelada;3759.66
V000235;2026-06-22;C0019;P0003;17.0;83.53;5.0;Boleto;Faturada;1415.01
V000236;2026-06-08;C0007;P0068;5.0;68.78;10.0;Cartão;Faturada;333.9
V000237;2026-04-14;C0018;P0051;3.0;108.16;5.0;Boleto;Faturada;319.48
V000238;2026-06-16;C0020;P0011;21.0;136.98;50.0;PIX;Faturada;2826.58
V000239;2026-01-15;C0026;P0049;13.0;154.47;20.0;PIX;Faturada;1988.11
V000240;2026-07-20;c0006;P0064;28.0;14.65;0.0;PIX;Cancelada;410.2
V000241;2026-06-27;C0003;P0030;7.0;136.23;10.0;Transferência;Faturada;943.61
V000242;2026-08-19;C0003;P0010;22.0;49.92;10.0;PIX;Faturada;1088.24
V000243;2026-07-12;C0021;P0003;7.0;80.75;50.0;Transferência;Faturada;515.25
V000244;2026-08-02;;P0021;19.0;112.49;50.0;Transferência;;2087.31
V000245;2026-07-22;C0022;P0050;25.0;67.34;20.0;PIX;Cancelada;1663.5
V000246;2026-03-01;C0048;P0045;2.0;151.07;50.0;PIX;Faturada;252.14
V000247;2026-07-18;C0039;P0079;20.0;109.87;0.0;PIX;Faturada;2197.4
V000248;2026-04-07;C0029;P0063;8.0;132.57;5.0;Boleto;Devolvida;1055.56
V000249;2026-03-17;C0043;P0049;3.0;159.65;50.0;Boleto;Faturada;428.95
V000250;2026-07-20;C0006;P0035;5.0;208.57;20.0;Boleto;Faturada;1022.85
V000251;2026-03-20;C0021;P0047;4.0;180.82;5.0;Cartão;Faturada;
V000252;2026-04-25;C0007;P0017;3.0;106.87;10.0;;Faturada;310.61
V000253;2026-06-02;C0002;P0012;12.0;217.49;10.0;Cartão;Faturada;2599.88
V000254;2026-01-22;C0001;;14.0;109.67;20.0;Boleto;Devolvida;1515.38
V000255;2026-02-05;C0034;P0022;22.0;203.73;0.0;Cartão;;4482.06
V000256;2026-03-12;C0032;P0019;3.0;35.08;5.0;;Faturada;100.24
V000257;2026-07-04;C0005;;9.0;206.13;20.0;Transferência;Devolvida;1835.17
V000258;2026-03-19;C0040;P0026;15.0;105.8;0.0;Transferência;Faturada;1587.0
V000259;2026-04-23;C0040;P0049;26.0;161.77;0.0;Transferência;Devolvida;4206.02
V000260;2026-06-27;C0009;P0039;11.0;227.69;0.0;Transferência;Faturada;2504.59
V000261;2026-06-27;C0012;;11.0;106.77;20.0;Transferência;Devolvida;1154.47
V000262;2026-07-21;C0016;P0042;13.0;218.0;5.0;Cartão;faturada;2829.0
V000263;2026-02-16;  C0037 ;P0026;19.0;121.23;20.0;PIX;Faturada;2283.37
V000264;2026-08-01;c0046;P0027;15.0;120.17;20.0;PIX;Faturada;1782.55
V000265;2026-03-03;C0044;P0064;5.0;15.1;0.0;Boleto;Faturada;75.5
V000266;2026-05-03;C0025;P0010;15.0;50.39;10.0;Transferência;Cancelada;745.85
V000267;2026-04-03;C0033;P0054;18.0;21.09;20.0;PIX;Faturada;359.62
V000268;2026-02-12;C0050;P0032;22.0;86.34;20.0;PIX;Devolvida;1879.48
V000269;2026-07-23;C0042;P0052;25.0;43.78;5.0;PIX;Faturada;1089.5
V000270;2026-05-13;C0007;P0034;8.0;96.51;10.0;Boleto;Faturada;762.08
V000271;2026-05-31;C0024;P0051;15.0;114.93;20.0;Boleto;Faturada;1703.95
V000272;2026-01-22;C0002;P0062;4.0;15.03;0.0;;faturada;60.12
V000273;2026-05-14;C0020;P0044;15.0;203.38;5.0;Cartão;Faturada;3045.7
V000274;2026-03-23;C0007;P0057;24.0;84.85;0.0;Cartão;Faturada;2036.4
V000275;2026-06-15;C0046;P0015;1.0;3.18;0.0;Boleto;Faturada;3.18
V000276;2026-05-24;C0034;P0023;18.0;;5.0;Transferência;Faturada;2086.6
V000277;2026-04-21;C0026;P0024;6.0;34.46;5.0;PIX;Devolvida;201.76
V000278;2026-01-02;C0013;P0058;19.0;55.59;20.0;Boleto;Faturada;1036.21
V000279;2026-08-12;C0018;P0009;19.0;160.78;10.0;Boleto;Faturada;3044.82
V000280;2026-06-21;C0021;P0026;15.0;105.92;50.0;Transferência;Cancelada;1538.8
V000281;2026-04-11;C0041;P0041;20.0;218.13;10.0;PIX;Faturada;4352.6
V000282;2026-06-22;C0023;P0059;20.0;170.03;20.0;Cartão;Devolvida;3380.6
V000283;2026-01-31;C0038;P0011;22.0;120.17;0.0;Cartão;Faturada;2643.74
V000284;10-04-2026;C0012;P0048;23.0;103.14;5.0;Boleto;Devolvida;2367.22
V000285;2026-05-18;C0025;P0055;6.0;167.07;20.0;Boleto;Cancelada;982.42
V000286;2026-03-22;;P0063;10.0;128.07;50.0;Transferência;Devolvida;1230.7
V000287;2026-02-19;C0004;P0046;1.0;155.42;;Transferência;Cancelada;105.42
V000288;2026-04-17;C0033;P0064;14.0;15.22;20.0;Transferência;Faturada;
V000289;2026-07-14;C0011;P0011;19.0;118.15;0.0;Cartão;Faturada;2244.85
V000290;2026-07-19;C0018;P0029;18.0;88.46;5.0;Transferência;Cancelada;1587.28
V000291;2026-07-18;C0033;P0015;19.0;2.84;10.0;Cartão;Cancelada;43.96
V000292;2026-05-20;C0049;P0006;25.0;98.2;0.0;Transferência;Faturada;2455.0
V000293;2026-01-09;C0048;P0032;10.0;89.07;5.0;Cartão;Faturada;885.7
V000294;2026-07-18;C0006;P0057;28.0;88.62;50.0;Boleto;Faturada;2431.36
V000295;2026-07-01;C0048;P0076;23.0;160.84;10.0;Transferência;Faturada;3689.32
V000296;2026-02-22;C0040;P0018;26.0;139.43;50.0;PIX;Devolvida;3575.18
V000297;2026-02-13;C0023;P0069;9.0;26.24;0.0;Cartão;Faturada;236.16
V000298;2026-08-19;C0037;P0035;28.0;;20.0;PIX;Faturada;
V000299;2026-03-12;C0049;P0053;30.0;131.14;50.0;Boleto;Faturada;3884.2
V000300;2026-03-05;C0016;P0019;23.0;35.96;50.0;Transferência;Faturada;777.08
V000301;2026-04-17;C0010;;21.0;36.02;5.0;Transferência;Faturada;751.42
V000302;2026-03-13;C0041;P0012;13.0;216.21;20.0;Cartão;Faturada;2790.73
V000303;2026-07-18;C0032;P0042;19.0;208.35;50.0;PIX;Faturada;3908.65
V000304;2026-05-17;C0041;  P0046 ;28.0;145.32;5.0;Boleto;;4063.96
V000305;2026-03-14;C0014;P0064;9.0;14.4;0.0;Boleto;Devolvida;129.6
V000306;2026-01-13;C0032;P0044;29.0;200.33;0.0;PIX;Faturada;5809.57
V000307;2026-04-23;C0002;P0016;30.0;162.7;5.0;PIX;faturada;4876.0
