id_titulo_pagar;id_fornecedor;data_emissao;data_vencimento;data_pagamento;categoria_despesa;valor_titulo;valor_pago;status;forma_pagamento
CP000032;F0025;2026-07-03;2026-08-17;2026-08-15;Tecnologia;10976.73;10976.73;Pago;transferência
CP000033;F0010;2026-07-30;2026-08-20;;Energia;15716.78;0.0;Em aberto;PIX
CP000034;F0016;2026-06-17;2026-07-17;2026-07-21;Frete;19788.17;19788.17;Pago;Boleto
CP000035;F0024;2026-07-11;2026-07-25;;Marketing;9620.16;0.0;Em aberto;  Débito automático 
CP000036;F0024;2026-07-28;25-08-2026;2026-08-28;Tecnologia;;6978.03;Pago;Boleto
CP000037;F0014;2026-07-17;2026-08-31;;Energia;8499.34;0.0;Em aberto;PIX
CP000038;F0012;2026-02-05;2026-03-07;2026-03-05;Energia;17506.57;17506.57;Pago;Transferência
CP000039;F0011;2026-02-27;2026-03-27;;Tecnologia;8657.96;0.0;em aberto;Transferência
CP000040;F0011;2026-05-31;2026-06-07;2026-06-07;Frete;11459.65;11459.65;Pago;Transferência
CP000041;F0019;2026-06-11;2026-08-10;;Marketing;12159.31;-250.0;Vencido;Débito automático
CP000042;F0013;22/02/2026;2026-03-22;;Frete;1508.26;0.0;Em aberto;Débito automático
CP000043;F0004;2026-03-26;2026-04-25;2026-04-24;Frete;19248.28;19248.28;Pago;
CP000044;F0022;2026-05-22;2026-06-05;;Energia;883.17;0.0;Vencido;PIX
CP000045;F0006;2026-02-20;2026-02-27;;Aluguel;18249.07;0.0;Em aberto;Boleto
CP000046;F0008;2026-03-16;2026-04-30;;Mercadorias;10606.82;0.0;;Transferência
CP000047;F0017;2026-01-03;2026-01-17;;Energia;6703.75;0.0;Em aberto;Boleto
CP000048;F0004;2026-02-03;2026-03-05;2026-03-09;Tecnologia;8513.66;8513.66;Pago;Boleto
CP000049;F0005;2026-08-11;2026-08-25;;Frete;6367.7;0.0;Em aberto;Transferência
CP000050;F0019;2026-02-21;2026-03-23;;Aluguel;14406.25;0.0;Em aberto;Boleto
CP000051;F0001;2026-02-06;2026-03-06;;Marketing;1513.41;0.0;Em aberto;Boleto
CP000052;F0017;2026-03-26;2026-04-25;;Energia;17614.98;0.0;Em aberto;PIX
CP000053;F0024;2026/01/24;2026-02-14;;Aluguel;13014.41;0.0;Em aberto;Transferência
CP000054;F0013;2026-06-06;2026-08-05;2026-08-09;Frete;16247.2;16247.2;Pago;Boleto
CP000055;F0020;2026-07-07;2026-08-04;2026-08-03;Energia;9292.11;9292.11;Pago;PIX
CP000056;F0008;2026-08-15;2026-10-14;2025-01-01;Aluguel;3369.16;0.0;Em aberto;PIX
CP000057;F0023;2026-07-05;2026/08/19;;Energia;18069.14;0.0;Em aberto;PIX
CP000058;F0012;2026-01-20;2026/03/21;2026-03-25;Energia;2328.19;2328.19;Pago;Boleto
CP000059;F0009;2026-02-23;2026-03-25;2026-03-24;Serviços;1131.54;1131.54;Pago;Débito automático
CP000060;F0013;2026-03-29;2026-05-13;2026-05-17;Mercadorias;8137.0;8137.0;Pago;  PIX 
CP000061;F0009;2026-01-30;2026-03-16;2026-03-21;Energia;18363.46;18363.46;Pago;Débito automático
CP000062;F0003;2026-01-22;2026-02-21;;Frete;13226.2;0.0;Em aberto;Débito automático
CP000063;F0009;2026-08-04;2026-08-18;2026-08-17;Frete;3619.13;3619.13;Pago;Transferência
CP000064;F0004;2026-05-17;2026-07-01;2026-06-29;Serviços;7969.28;7969.28;Pago;Transferência
CP000065;F0005;2026-04-23;2026-05-14;2026-05-15;Energia;3764.32;3764.32;Pago;PIX
CP000066;F0021;2026-07-27;2026-08-26;2026-08-30;Serviços;12909.99;12909.99;Pago;Transferência
CP000067;F0015;2026-01-14;2026-02-13;;Tecnologia;342.15;0.0;Em aberto;Boleto
CP000068;F0008;2026-04-06;2026-04-20;2026-04-24;Mercadorias;4199.72;4199.72;Pago;PIX
CP000069;F0011;2026-07-30;2026-08-13;2026-08-14;Mercadorias;13679.2;13679.2;Pago;Boleto
CP000070;F0024;2026-02-12;2026-02-19;2026-02-22;Aluguel;8459.68;8459.68;Pago;Boleto
CP000071;F0020;2026-02-23;2026-03-25;;Mercadorias;8052.51;0.0;EM ABERTO;Boleto
CP000072;F0007;2026-01-28;2026-02-18;2026-02-22;Serviços;6636.51;6636.51;Pago;Transferência
CP000073;F0001;2026-04-10;2026-04-24;2026-04-26;Serviços;9310.82;9310.82;Pago;Transferência
CP000074;F0002;2026-01-18;2026-02-01;;Energia;8369.16;0.0;Vencido;PIX
CP000075;F0023;2026-05-18;2026-07-17;;Frete;19812.99;0.0;Vencido;Transferência
CP000076;F0004;2026-06-03;2026-06-24;;Serviços;19632.96;0.0;Em aberto;Boleto
CP000077;F0011;2026-02-14;2026-03-31;2026-04-05;Mercadorias;15293.9;15293.9;Pago;Transferência
CP000078;F0001;2026-06-05;2026-07-05;;Serviços;;0.0;Em aberto;Boleto
CP000079;F0017;2026-05-31;2026-07-15;2026-07-13;Marketing;19770.52;19770.52;Pago;PIX
CP000080;F0010;2026-03-02;2026-04-16;2026-04-15;Mercadorias;8712.83;8712.83;Pago;Boleto
CP000081;F0012;2026-05-08;2026-05-29;;Frete;4239.73;0.0;Em aberto;PIX
CP000082;F0008;2026-07-05;2026-08-04;;Serviços;19773.89;0.0;Em aberto;Transferência
CP000083;  F0005 ;2026-03-13;2026-04-03;2026-04-07;Serviços;12961.14;12961.14;Pago;Transferência
CP000084;F0025;2026-01-07;2026-01-21;2026-01-24;Frete;16976.96;16976.96;Pago;Boleto
CP000085;F0018;2026-01-14;2026-02-28;2026-03-04;Marketing;19770.43;19770.43;Pago;Transferência
CP000086;F0006;2026-04-24;2026-06-08;;Mercadorias;369.34;0.0;Em aberto;Boleto
CP000087;F0002;2026-06-12;2026-06-26;2026-06-25;Frete;18780.92;18780.92;Pago;Boleto
CP000088;F0008;10/05/2026;2026-05-17;;Aluguel;8668.24;0.0;Em aberto;Boleto
CP000089;F0024;2026-02-20;2026-03-06;;Frete;8624.33;0.0;Vencido;Transferência
CP000090;F0010;2026-05-28;2026-06-25;2026-06-27;Tecnologia;19362.58;19362.58;Pago;Débito automático
CP000091;F0003;2026-04-03;2026-05-01;;Energia;7709.92;0.0;Em aberto;Débito automático
CP000092;F0017;2026-06-06;2026-07-21;2026-07-26;Mercadorias;8810.25;8810.25;Pago;Débito automático
CP000093;F0014;2026-08-07;2026-08-14;2026-08-14;Marketing;15237.45;15237.45;Pago;Boleto
CP000094;F0009;2026-04-08;2026-05-06;2026-05-10;Marketing;6290.48;;  Pago ;Débito automático
CP000095;F0003;2026-03-27;2026-04-10;2026-04-10;Frete;14368.55;14368.55;Pago;PIX
CP000096;F0001;2026-08-09;2026-09-08;2026-09-13;Energia;14674.78;14674.78;Pago;Débito automático
CP000097;F0013;2026-07-10;2026-07-31;2026-07-30;Energia;7834.74;7834.74;Pago;PIX
CP000098;F0004;2026-04-09;2026-05-09;;Aluguel;3456.66;0.0;Em aberto;Transferência
CP000099;F0017;2026-07-01;2026-07-29;2026-07-27;Serviços;12790.85;12790.85;Pago;Débito automático
CP000100;F0014;2026-07-08;2026-07-22;2026-07-25;Serviços;5036.47;5036.47;Pago;PIX
CP000101;F0023;2026-06-20;2026-08-04;;;3170.71;0.0;Vencido;Boleto
CP000102;F0009;2026-03-05;2026-04-04;2026-04-02;Mercadorias;11672.25;11672.25;Pago;PIX
CP000103;F0021;2026-07-02;2026-07-30;;Mercadorias;8103.92;0.0;Vencido;Boleto
CP000104;F0014;2026-02-12;2026-04-13;2026-04-17;Marketing;8680.71;8680.71;Pago;Transferência
CP000105;F0024;2026-04-16;2026-06-15;2026-06-14;Serviços;17558.91;17558.91;Pago;Transferência
CP000106;F0005;2026-03-10;2026-04-24;;Serviços;4388.13;0.0;Em aberto;Transferência
CP000107;F0001;2026-02-13;2026-04-14;2026-04-13;Tecnologia;9961.53;9961.53;Pago;Débito automático
CP000108;F0017;2026-04-17;2026-06-01;;Frete;5944.72;0.0;Em aberto;Boleto
CP000109;F0012;2026-02-17;2026-04-03;;Frete;2903.06;0.0;Em aberto;PIX
CP000110;F0015;2026-05-26;2026-07-25;2026-07-23;Serviços;4448.32;4448.32;Pago;Boleto
CP000111;F0025;2026-02-19;2026-03-12;;Energia;19663.21;0.0;Em aberto;PIX
CP000112;F0021;2026-02-12;2026-02-19;;Mercadorias;6039.23;0.0;Em aberto;Transferência
CP000113;F0003;2026-03-29;05-04-2026;;Energia;11816.52;0.0;Em aberto;PIX
CP000114;F0001;2026-01-16;2026-02-06;2026-02-04;Mercadorias;15098.02;15098.02;Pago;Boleto
CP000115;F0017;2026-07-22;2026-07-29;;Tecnologia;7669.4;0.0;Em aberto;Transferência
CP000116;f0016;2026-05-02;2026-07-01;;  Aluguel ;6906.34;0.0;Em aberto;Transferência
CP000117;F0022;2026-08-16;2026-09-06;2026-09-09;Serviços;19989.04;19989.04;Pago;Débito automático
CP000118;F0013;2026-06-06;2026-06-13;2026-06-12;Mercadorias;19512.27;19512.27;Pago;Débito automático
CP000119;F0023;2026-04-13;2026-05-28;2026-05-26;Marketing;16749.57;16749.57;Pago;PIX
CP000120;F0017;2026-03-13;2026-04-27;2026-04-30;Energia;15090.93;15090.93;Pago;Débito automático
CP000121;F0017;2026-04-16;2026-05-31;29-05-2026;Serviços;3961.71;3961.71;Pago;Transferência
CP000122;F0002;2026-07-26;2026-09-09;;Frete;6679.12;0.0;Em aberto;Débito automático
CP000123;F0013;2026-07-09;2026-08-08;2026-08-12;Energia;15930.72;15930.72;Pago;PIX
CP000124;F0024;2026-04-09;2026-04-30;2026-04-28;Frete;12241.68;12241.68;Pago;Débito automático
CP000125;F0003;2026-03-19;2026-05-18;;Tecnologia;13542.98;0.0;Em aberto;Débito automático
CP000126;F0006;2026-08-18;2026-09-15;;Serviços;19112.26;0.0;Em aberto;Boleto
CP000127;F0008;2026-02-24;2026-03-10;2026-03-09;Energia;15126.74;;Pago;PIX
CP000128;F0006;2026-03-25;2026-04-22;2026-04-24;Serviços;15384.6;15384.6;Pago;Débito automático
CP000129;F0022;2026-02-01;2026-03-18;;Serviços;2931.19;0.0;Em aberto;Débito automático
CP000130;F0003;2026-07-23;2026-09-06;2026-09-05;Serviços;6822.82;6822.82;Pago;Transferência
CP000131;F0013;2026-07-03;2026-08-17;;Serviços;14786.05;0.0;Em aberto;Débito automático
CP000132;F0008;2026-02-27;2026-03-20;2026-03-19;Mercadorias;2534.88;2534.88;Pago;Transferência
CP000133;F0024;2026-06-01;2026-06-15;2026-06-18;Frete;14956.2;14956.2;Pago;Transferência
CP000134;F0013;2026-05-28;2026-07-12;2026-07-13;Tecnologia;283.15;283.15;Pago;Débito automático
CP000135;F0014;2026-03-23;2026-05-22;2026-05-23;Mercadorias;7459.22;7459.22;Pago;Débito automático
CP000136;F0001;2026-05-18;2026-07-17;2026-07-19;Tecnologia;9346.9;9346.9;Pago;Boleto
CP000137;F0016;2026-06-24;2026-07-22;2026-07-22;;3161.65;3161.65;Pago;PIX
CP000138;;2026-03-23;2026-04-13;2026-04-15;Tecnologia;10171.97;10171.97;Pago;Débito automático
CP000139;F0021;2026-08-01;2026-08-15;;Mercadorias;10026.75;0.0;Em aberto;Transferência
CP000140;F0005;2026-07-31;2026-09-14;2026-09-12;Tecnologia;4409.61;4409.61;Pago;Boleto
CP000141;F0016;2026-07-06;2026-08-03;2026-08-01;Marketing;6157.26;6157.26;Pago;Débito automático
CP000142;F0011;2026-04-19;2026-06-03;2026-06-07;Energia;9600.08;9600.08;Pago;PIX
CP000143;F0017;2026-07-06;2026-07-27;2026-07-31;Mercadorias;5826.69;5826.69;Pago;Boleto
CP000144;F0011;2026-07-12;2026-09-10;2026-09-12;Energia;11712.58;11712.58;Pago;Boleto
CP000145;F0019;2026-02-05;2026-03-05;2026-03-05;Frete;13995.12;13995.12;Pago;Boleto
CP000146;F0024;2026-02-20;2026-04-06;2026-04-05;Serviços;13111.95;13111.95;Pago;Boleto
CP000147;F0013;2026-04-20;2026-06-04;2026-06-03;Aluguel;16872.79;16872.79;Pago;Débito automático
CP000148;F0006;2026-01-14;2026-01-21;2026-01-25;Frete;19610.47;19610.47;Pago;Débito automático
CP000149;F0008;2026-01-09;2026-01-16;;Aluguel;5006.89;0.0;Em aberto;Boleto
CP000150;F0021;2026-07-10;2026-08-07;2026-08-12;Tecnologia;15573.03;15573.03;Pago;Débito automático
CP000151;F0009;2026-06-11;2026-07-26;2026-07-25;Mercadorias;9041.09;9041.09;Pago;PIX
CP000152;f0004;2026-05-06;2026-06-20;;Frete;13458.65;0.0;Em aberto;PIX
CP000153;F0019;2026-05-27;2026-06-26;2026-06-26;Energia;9720.09;9720.09;Pago;
CP000154;  F0021 ;2026-06-29;2026-07-27;2026-07-26;;6142.68;6142.68;Pago;PIX
CP000155;F0023;2026-08-09;2026-10-08;;Tecnologia;10865.84;0.0;Em aberto;PIX
CP000156;F0013;2026-05-23;2026-07-22;;Energia;10844.23;0.0;Em aberto;PIX
CP000157;F0017;2026-08-03;2026-09-02;2026-09-03;Serviços;10894.89;10894.89;Pago;PIX
CP000158;F0006;2026-08-09;2026-09-08;2026-09-13;Tecnologia;13980.51;13980.51;Pago;Transferência
CP000159;F0004;2026-01-11;2026-01-25;2026-01-24;Marketing;11607.85;11607.85;Pago;Transferência
CP000160;F0025;2026-01-09;2026-01-16;;Aluguel;19603.59;0.0;Em aberto;Transferência
CP000161;F0018;2026-02-13;2026-03-13;2026-03-14;Aluguel;19547.79;19547.79;Pago;PIX
CP000162;F0017;2026-08-20;2026-10-19;;Energia;6044.59;0.0;Em aberto;Boleto
CP000163;F0019;2026-05-06;2026/06/20;2026-06-21;Serviços;6430.49;6430.49;Pago;PIX
CP000164;F0022;2026-07-29;2026-08-05;2026-08-05;Aluguel;4932.73;;Pago;Boleto
CP000165;F0005;2026-06-04;2026-07-04;2026-07-06;Frete;4516.79;4516.79;Pago;Débito automático
CP000166;F0003;2026-05-21;2026-06-11;2026-06-15;Energia;5398.32;5398.32;Pago;PIX
CP000167;F0009;2026-06-23;2026-07-21;2026-07-22;Mercadorias;18818.94;18818.94;Pago;Transferência
CP000168;F0021;2026-06-28;2026-08-12;2026-08-12;Energia;4054.39;4054.39;Pago;Boleto
CP000169;F0011;2026-07-21;2026-08-18;;Frete;7734.1;0.0;Vencido;PIX
CP000170;F0009;2026-02-01;2026-03-03;;Energia;2422.31;0.0;Em aberto;PIX
CP000171;F0011;2026-06-13;2026-06-20;2026-06-22;Frete;7415.68;7415.68;Pago;Boleto
CP000172;F0009;03-01-2026;2026-01-10;2026-01-14;Mercadorias;7698.83;7698.83;Pago;PIX
CP000173;F0006;2026-05-15;2026-06-29;;Tecnologia;17541.36;0.0;Vencido;Débito automático
CP000174;F0004;2026-05-16;2026-06-06;2026-06-08;Marketing;14084.0;14084.0;Pago;PIX
CP000175;F0002;2026-02-13;2026-03-06;;Frete;18943.58;0.0;;Transferência
CP000176;F0024;2026-06-23;2026-08-22;;Tecnologia;10750.72;0.0;Vencido;Débito automático
CP000177;F0016;2026-06-01;2026-06-15;;;5366.46;0.0;Em aberto;Boleto
CP000178;F0022;2026-02-02;2026-02-16;2026-02-14;Serviços;7731.31;7731.31;Pago;Transferência
CP000179;F0023;2026-07-19;2026-08-02;;Serviços;13644.75;0.0;Em aberto;Débito automático
CP000180;F0006;2026-04-23;2026-05-14;;Aluguel;16019.76;0.0;Em aberto;Transferência
CP000181;F0014;2026-05-14;2026-06-28;2026-06-30;  Serviços ;17657.41;17657.41;Pago;PIX
CP000182;F0010;2026-04-15;2026-06-14;2026-06-13;Mercadorias;6426.55;6426.55;Pago;Boleto
CP000183;F0003;2026-02-12;2026-03-14;2026-03-19;Tecnologia;1383.88;1383.88;Pago;PIX
CP000184;F0014;2026-06-23;2026-07-23;2026-07-28;Energia;18665.72;18665.72;;PIX
CP000185;F0013;2026-01-04;2026-02-03;2026-02-07;Serviços;4006.13;4006.13;Pago;Transferência
CP000186;F0008;2026-07-09;2026-08-23;;Serviços;19029.65;0.0;Em aberto;PIX
CP000187;F0020;2026-04-25;2026-05-09;;Frete;13571.81;0.0;Em aberto;Boleto
CP000188;F0003;2026-04-04;2026-06-03;2026-06-01;Energia;2883.05;2883.05;Pago;Débito automático
CP000189;F0013;2026-02-13;2026-03-06;2026-03-07;Tecnologia;19402.14;19402.14;Pago;PIX
CP000190;F0010;2026-03-18;2026-04-15;2026-04-13;Serviços;6047.51;6047.51;Pago;Débito automático
CP000191;F0007;2026-03-20;2026-05-04;2026-05-09;Marketing;10431.7;10431.7;Pago;Débito automático
CP000192;F0002;2026-04-02;2026-04-09;2026-04-11;Aluguel;12406.72;12406.72;Pago;PIX
CP000193;F0001;2026-03-31;2026-05-15;2026-05-13;Mercadorias;3926.61;3926.61;Pago;Débito automático
CP000194;F0016;2026-02-20;2026-02-27;2026-03-03;Mercadorias;10699.66;10699.66;Pago;Débito automático
CP000195;F0001;2026-02-09;2026-04-10;2026-04-15;Energia;13218.51;13218.51;Pago;Transferência
CP000196;F0010;2026-04-04;2026-05-02;;Tecnologia;17870.82;0.0;Em aberto;Transferência
CP000197;F0004;2026-04-23;2026-06-07;2026-06-07;  Aluguel ;16827.31;16827.31;Pago;Débito automático
CP000198;;2026-04-02;2026-06-01;2026-06-02;Aluguel;14257.08;14257.08;Pago;PIX
CP000199;F0005;2026-04-12;2026-05-10;2026-05-10;Serviços;14942.5;14942.5;Pago;Boleto
CP000200;F0016;2026-06-20;2026-07-11;;Marketing;2596.15;0.0;Em aberto;Débito automático
CP000201;F0022;2026-07-02;2026-07-16;;Marketing;6666.53;0.0;Em aberto;Débito automático
CP000202;F0005;2026-01-29;2026-02-05;2026-02-05;Aluguel;15906.08;15906.08;Pago;PIX
CP000203;F0025;2026-06-25;2026-07-09;2026-07-13;Marketing;1277.79;1277.79;Pago;PIX
CP000204;F0014;2026-05-03;2026-05-24;2026-05-28;Frete;5823.91;5823.91;Pago;Boleto
CP000205;F0024;2026-05-11;2026-05-25;2026-05-27;Serviços;5176.97;5176.97;Pago;Boleto
CP000206;F0022;2026-07-30;2026-08-27;2026-08-27;Frete;4168.65;4168.65;Pago;Boleto
CP000207;F0008;2026-01-31;2026-02-14;2026-02-15;Frete;8175.34;8175.34;Pago;Débito automático
CP000208;F0001;2026-06-07;2026-06-21;2026-06-25;Energia;2045.97;2045.97;Pago;Transferência
CP000209;F0023;2026-06-12;2026-06-26;;Energia;4630.06;0.0;Em aberto;PIX
CP000210;F0017;2026-04-20;2026-06-04;2026-06-06;Aluguel;1270.2;1270.2;Pago;Transferência
CP000211;F0012;2026-07-02;2026-07-30;2026-07-30;Mercadorias;5127.63;5127.63;Pago;PIX
CP000212;F0002;2026-06-19;2026-08-03;2026-08-08;Aluguel;6602.38;6602.38;Pago;PIX
CP000213;F0014;2026-02-17;2026-03-10;2026-03-13;;18979.48;18979.48;Pago;PIX
CP000214;F0004;2026-06-21;2026-06-28;2026-07-01;Aluguel;13738.49;13738.49;Pago;Transferência
CP000215;F0024;2026-07-19;2026-08-18;2026-08-19;Serviços;10695.03;10695.03;Pago;Transferência
CP000216;F0007;2026-05-30;2026-06-27;2026-06-27;Serviços;1972.82;1972.82;Pago;PIX
CP000217;F0002;2026-05-31;2026-07-15;2026-07-20;Mercadorias;16393.83;16393.83;Pago;PIX
CP000218;F0018;2026-06-08;2026-06-29;;Tecnologia;6204.16;0.0;Em aberto;
CP000219;F0018;2026-07-04;2026-07-18;2026-07-22;Marketing;1115.27;1115.27;Pago;Transferência
CP000220;F0025;2026-08-07;2026-10-06;2026-10-09;Energia;18159.59;18159.59;Pago;PIX
CP000221;F0014;2026-01-18;2026-02-15;;Tecnologia;8525.33;0.0;Em aberto;PIX
CP000222;F0006;2026-06-03;2026-06-24;2026-06-26;Mercadorias;14009.95;;Pago;PIX
CP000223;F0023;2026-02-18;2026-04-04;;Serviços;16337.04;0.0;Em aberto;  PIX 
CP000224;F0006;2026-04-23;2026-06-22;;Tecnologia;10308.25;0.0;Em aberto;Débito automático
CP000225;F0013;2026-06-05;2026-06-26;2026-06-26;Marketing;4336.76;4336.76;Pago;Boleto
CP000226;F0019;2026-06-28;2026-07-05;;Energia;17613.31;0.0;Em aberto;Transferência
CP000227;F0010;2026-08-07;2026-08-21;2026-08-20;Frete;6103.18;6103.18;Pago;Boleto
CP000228;F0002;2026-05-17;2026-05-31;2026-06-02;Frete;6013.91;6013.91;Pago;Transferência
CP000229;F0002;2026-06-14;2026-06-28;2026-06-27;Mercadorias;19793.34;19793.34;Pago;transferência
CP000230;F0021;2026-06-04;2026-06-25;;Aluguel;6660.1;0.0;Em aberto;Boleto
CP000231;F0014;2026-08-18;2026-09-17;2026-09-15;Tecnologia;6074.18;6074.18;Pago;Transferência
CP000232;F0008;2026-07-07;2026-07-28;2026-07-27;Serviços;3740.52;3740.52;Pago;Débito automático
CP000233;;2026-03-07;2026-05-06;;Marketing;12618.04;0.0;Vencido;Boleto
CP000234;F0015;2026-02-26;2026-03-19;;Serviços;5558.67;0.0;Vencido;Débito automático
CP000235;F0005;2026-04-25;2026-05-09;;Aluguel;14663.79;0.0;Em aberto;Boleto
CP000236;F0016;2026-01-24;2026-02-21;2026-02-21;Frete;3834.89;3834.89;Pago;Débito automático
CP000237;F0024;2026-02-16;2026-04-02;2026-04-02;Frete;5820.37;5820.37;Pago;Débito automático
CP000238;F0022;2026-06-05;2026-06-19;2026-06-23;Frete;1621.72;1621.72;Pago;Débito automático
CP000239;F0021;2026-04-14;2026-04-21;2026-04-19;Marketing;14555.06;14555.06;Pago;pix
CP000240;F0013;2026-04-09;2026-04-16;2026-04-14;Frete;2423.2;2423.2;Pago;Boleto
CP000241;f0025;2026-01-22;2026-02-12;;Mercadorias;3067.05;0.0;Vencido;PIX
CP000242;F0004;2026-05-19;2026-07-03;2026-07-04;Frete;16410.54;16410.54;Pago;Débito automático
CP000243;F0025;2026-05-25;2026-06-22;2026-06-25;Energia;16355.43;16355.43;Pago;Boleto
CP000244;F0008;2026-01-15;2026-02-14;;Mercadorias;13917.81;0.0;Em aberto;PIX
CP000245;F0002;2026-01-27;2026-02-26;;Tecnologia;6110.59;0.0;Em aberto;Débito automático
CP000246;F0005;2026-01-01;2026-01-15;;Energia;724.02;0.0;Em aberto;Boleto
CP000247;F0012;2026-06-17;2026-07-08;;Serviços;4711.22;0.0;Em aberto;PIX
CP000248;F0016;2026-02-13;2026-02-20;2026-02-23;Mercadorias;4684.32;4684.32;Pago;Transferência
CP000249;F0004;2026-04-03;2026-04-10;;Frete;17937.83;0.0;Vencido;Boleto
CP000250;F0014;2026-05-16;2026-06-06;;Frete;12092.33;0.0;Em aberto;Transferência
CP000251;F0020;2026-07-29;2026-08-19;2026-08-21;Energia;7130.62;7130.62;Pago;Transferência
CP000252;F0009;2026-07-27;2026-09-10;2026-09-10;Tecnologia;16024.0;16024.0;Pago;Boleto
CP000253;;2026-02-07;2026-03-07;;Tecnologia;9072.23;0.0;Em aberto;PIX
CP000254;F0004;2026-05-28;2026-06-25;2026-06-25;Mercadorias;19201.81;19201.81;Pago;Transferência
CP000255;F0005;2026-02-16;2026-04-17;2026-04-22;Energia;7854.09;7854.09;Pago;Débito automático
CP000256;F0023;2026-04-16;2026-05-16;2026-05-16;Tecnologia;15921.66;15921.66;Pago;Boleto
CP000257;F0013;2026-04-18;2026-05-18;;Energia;10067.77;0.0;Em aberto;Boleto
CP000258;F0013;2026-01-22;2026-02-21;;Marketing;14369.69;0.0;Em aberto;Boleto
CP000259;F0023;2026-01-23;2026-02-06;2026-02-04;Aluguel;7393.76;7393.76;Pago;débito automático
CP000260;F0005;2026-01-29;2026-02-05;2026-02-05;Aluguel;18249.4;18249.4;Pago;Débito automático
CP000261;F0005;2026-08-02;2026-10-01;;Frete;11142.13;0.0;Em aberto;Boleto
CP000262;F0008;15-01-2026;2026-03-01;2026-03-05;serviços;2971.58;2971.58;Pago;PIX
CP000263;F0023;2026-04-19;2026-05-10;2026-05-09;Energia;1318.15;1318.15;Pago;Boleto
CP000264;F0001;2026-02-07;2026-02-28;2026-02-27;  Mercadorias ;;3040.23;Pago;
CP000265;F0005;2026-07-15;2026-07-29;2026-07-31;Energia;9527.85;9527.85;Pago;Débito automático
CP000266;F0024;2026-03-28;2026-04-25;2026-04-27;Mercadorias;15682.59;15682.59;Pago;Boleto
